# ADVISEDLULINE00009;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Client;AdvisedLuLine;AdvisedLu.Client.clientId;clientId;S;10;0;X;X;Is the unique identification of a client.;
2;LU-ID of advised LU;AdvisedLuLine;AdvisedLu.luId;luId;S;20;0;X;X;The LU-ID of the physical LU;
3;System partner line;AdvisedLuLine;sysPartnerLine;sysPartnerLine;N;10;0;X;;The associated line of the initial system partner telegram. If a advised lu line is added within WAMAS, then this number is set to 0.;
4;Item number;AdvisedLuLine;iga.pkv.Item.itemNo;itemNo;S;20;0;;X; Is a part of the unique identification of an item. ;
5;Variant;AdvisedLuLine;iga.pkv.Item.variant;variant;S;10;0;;X; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
6;BQU / WQU;AdvisedLuLine;iga.pkv.numBquWqu;numBquWqu;D;12;3;;;Defines the number of base quantity units for the warehouse quantity as a factor. This value is calculated automatically and cannot be changed by the user.This factor is stored redundantly to gain performance during the process and in dialogs.To avoid rounding errors, the number of dual quantity units is stored as a fraction.;
7;System partner stock group;;;sysPartnerStockGroup;S;15;0;;;;
8;System partner stock rating;;;sysPartnerStockRating;S;15;0;;;;
9;Goods owner;AdvisedLuLine;iga.gow.partner.partnerId;gow;S;15;0;X;X;Unique identification of a partner object.;
10;Batch;AdvisedLuLine;iga.batch;batch;S;20;0;;;The batch concerning the ordered or delivered goods.;
11;BBD;AdvisedLuLine;iga.bbDate;bbDate;DA;8;0;;;The best before date concerning the ordered or delivered goods. See StockIdentifyingAttributes.;
12;Production date;AdvisedLuLine;iga.prodDate;prodDate;DA;8;0;;;The production date concerning the ordered or delivered goods. See StockIdentifyingAttributes.;
13;Reservation number;AdvisedLuLine;iga.reservationNo;reservationNo;S;20;0;;;The reservation number concerning the ordered or delivered goods.;
14;Cross Docking No.;AdvisedLuLine;iga.cdNo;cdNo;S;20;0;;;Cross docking number of the item.;
15;CSIA 01;AdvisedLuLine;iga.csia.csia01;csia1;S;50;0;;;Defines the type for customizable stock identifying attributes;
16;CSIA 02;AdvisedLuLine;iga.csia.csia02;csia2;S;50;0;;;Defines the type for customizable stock identifying attributes;
17;CSIA 03;AdvisedLuLine;iga.csia.csia03;csia3;S;50;0;;;Defines the type for customizable stock identifying attributes;
18;CSIA 04;AdvisedLuLine;iga.csia.csia04;csia4;S;50;0;;;Defines the type for customizable stock identifying attributes;
19;CSIA 05;AdvisedLuLine;iga.csia.csia05;csia5;S;50;0;;;Defines the type for customizable stock identifying attributes;
20;CSIA 06;AdvisedLuLine;iga.csia.csia06;csia6;S;50;0;;;Defines the type for customizable stock identifying attributes;
21;CSIA 07;AdvisedLuLine;iga.csia.csia07;csia7;S;50;0;;;Defines the type for customizable stock identifying attributes;
22;CSIA 08;AdvisedLuLine;iga.csia.csia08;csia8;S;50;0;;;Defines the type for customizable stock identifying attributes;
23;CSIA 09;AdvisedLuLine;iga.csia.csia09;csia9;S;50;0;;;Defines the type for customizable stock identifying attributes;
24;CSIA 10;AdvisedLuLine;iga.csia.csia10;csia10;S;50;0;;;Defines the type for customizable stock identifying attributes;
25;CSIA 11;AdvisedLuLine;iga.csia.csia11;csia11;S;50;0;;;Defines the type for customizable stock identifying attributes;
26;CSIA 12;AdvisedLuLine;iga.csia.csia12;csia12;S;50;0;;;Defines the type for customizable stock identifying attributes;
27;CSIA 13;AdvisedLuLine;iga.csia.csia13;csia13;S;50;0;;;Defines the type for customizable stock identifying attributes;
28;CSIA 14;AdvisedLuLine;iga.csia.csia14;csia14;S;50;0;;;Defines the type for customizable stock identifying attributes;
29;CSIA 15;AdvisedLuLine;iga.csia.csia15;csia15;S;50;0;;;Defines the type for customizable stock identifying attributes;
30;CSIA 16;AdvisedLuLine;iga.csia.csia16;csia16;S;50;0;;;Defines the type for customizable stock identifying attributes;
31;CSIA 17;AdvisedLuLine;iga.csia.csia17;csia17;S;50;0;;;Defines the type for customizable stock identifying attributes;
32;CSIA 18;AdvisedLuLine;iga.csia.csia18;csia18;S;50;0;;;Defines the type for customizable stock identifying attributes;
33;CSIA 19;AdvisedLuLine;iga.csia.csia19;csia19;S;50;0;;;Defines the type for customizable stock identifying attributes;
34;CSIA 20;AdvisedLuLine;iga.csia.csia20;csia20;S;50;0;;;Defines the type for customizable stock identifying attributes;
35;Quantity;AdvisedLuLine;amount.baseQty;baseQty;D;12;3;?;;The item quantity specification in its administration unit (base quantity unit). All state calculations, delivery fulfilled checks and so on are based on the base quantity. The dual quantity has no effect for those calculations. ;
36;Dual quantity;AdvisedLuLine;amount.dualQty;dualQty;D;12;3;?;;The quantity measure for dual items. This quantity is needed in addition to the base quantity in order to uniquely identify the item. ;
37;Advised LU line type;AdvisedLuLine;type.typeId;typeId;S;20;0;;X;Defines an advised LU line type.;
38;Gross weight;AdvisedLuLine;keyData.grossWeight.value;grossWeight;D;12;3;;;Specifies the value (or amount) in weight unit which was entered by a user.;
