# E1BPIBDLVITEM;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Inbound delivery number;InboundDelivery;ibdNo;;S;20;0;X;;The inbound delivery number is part of the unique identifier of the inbound delivery.;;DELIV_NUMB
2;Inbound delivery line;InboundDeliveryLine;line;;S;10;0;X;;The line number is part of the unique identifier of the inbound delivery line.;;ITM_NUMBER
3;Item number;Item;itemNo;;S;20;0;X;; Is a part of the unique identification of an item. ;;MATERIAL
4;BBD;InboundDeliveryLine;iga.bbDate;;DA;8;0;;;The best before date concerning the ordered or delivered goods. See StockIdentifyingAttributes.;;EXPIRYDATE
5;Batch;InboundDeliveryLine;iga.batch;;S;20;0;;;The batch concerning the ordered or delivered goods.;;BATCH
6;Base quantity unit;Item;baseQtyUnit.id;;S;5;0;X;X; Is part of the unique identification of a quantity unit. ;;BASE_UOM_ISO
7;Ordered quantity;InboundDeliveryLine;orderAmount;;D;12;3;X;;The order amount copied from the inbound delivery note. This amount must not be changed during processing the delivery line.;;DLV_QTY_STOCK
8;Denominator;Item;PackagingVersion.ItemQtyUnit.numBaseQtyUnits.denominator;;N;6;0;X;;The bottom of the fraction.;;CONV_UNIT_DENOM
9;Numerator;Item;PackagingVersion.ItemQtyUnit.numBaseQtyUnits.numerator;;N;6;0;X;;Defines the number of quantity units in the reference unit. ;;CONV_UNIT_NOM
10;Unlimited over-delivery allowed;;;;S;1;0;X;;;;OVERDEL_UNLIM
11;Upper tolerance [%];InboundDeliveryLine;deliveryTolerance.upper;;D;3;1;;;Upper tolerance in percentage.;;OVERDELTOL
12;Lower tolerance [%];InboundDeliveryLine;deliveryTolerance.lower;;D;3;1;;;Lower tolerance in percentage.;;UNDER_TOL
13;SAP special stock type;SysPartnerStockGroup;sapStockAttr.sapSpecStock;;S;1;0;;;Is the unique identification of a SAP special stock type.;;SPEC_STOCK
14;SAP stock type;SysPartnerStockGroup;sapStockAttr.sapStockType;;S;25;0;;;Is the unique identification of a SAP stock type.;;STOCK_TYPE
15;Reservation number;InboundDeliveryLine;iga.reservationNo;;S;20;0;;;The reservation number concerning the ordered or delivered goods.;;SP_STCK_NO
16;Production date;StockIdentifyingAttributes;prodDate;;DA;14;0;;;The production date defines the date on which the product was manufactured.;;PROD_DATE
