# FWCS_PACKAGINGVERSION00001;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Client;Client;clientId;clientId;S;10;0;X;;Is the unique identification of a client.;
2;Item number;Item;itemNo;itemNo;S;20;0;X;; Is a part of the unique identification of an item. ;
3;Variant;Item;variant;variant;S;10;0;X;; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
4;BQU / WQU;PackagingVersion;numBquWqu;numBquWqu;D;12;3;X;;Defines the number of base quantity units for the warehouse quantity as a factor. This value is calculated automatically and cannot be changed by the user.This factor is stored redundantly to gain performance during the process and in dialogs.To avoid rounding errors, the number of dual quantity units is stored as a fraction.;
5;BQU net weight;PackagingVersion;netWeight.value;itemWeight;D;12;3;;;Specifies the value (or amount) in weight unit which was entered by a user.;
6;BQU net weight unit;PackagingVersion;netWeight.unit.id;itemWeightUnit;S;5;0;;X;Uniquely identifies the weight unit.;
7;Length;PackagingVersion;ItemQtyUnit.length.value;itemLength;D;12;3;;;Specifies the value (or amount) in length unit which was entered by a user.;
8;Length unit;PackagingVersion;ItemQtyUnit.length.unit.id;itemLengthUnit;S;5;0;;X;Uniquely identifies the length unit.;
9;Width;PackagingVersion;ItemQtyUnit.width.value;itemWidth;D;12;3;;;Specifies the value (or amount) in length unit which was entered by a user.;
10;Width unit;PackagingVersion;ItemQtyUnit.width.unit.id;itemWidthUnit;S;5;0;;X;Uniquely identifies the length unit.;
11;Height;PackagingVersion;ItemQtyUnit.height.value;itemHeight;D;12;3;;;Specifies the value (or amount) in length unit which was entered by a user.;
12;Height unit;PackagingVersion;ItemQtyUnit.height.unit.id;itemHeightUnit;S;5;0;;X;Uniquely identifies the length unit.;
13;Data state;;;recordState;E;6;0;;;;com.wamas.wms.core.di.recordtypes.RecordState
