# IBOL00007;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Client;InboundOrderLine;InboundOrder.Client.clientId;clientId;S;10;0;X;X;Is the unique identification of a client.;
2;Inbound order number;InboundOrderLine;InboundOrder.iboNo;iboNo;S;20;0;X;X;The inbound order number is part of the unique identifier of the inbound order.;
3;System partner line;InboundOrderLine;sysPartnerLine;sysPartnerLine;N;10;0;X;;If this value is greater than 0, that means the inbound order line was created via interface, line number corresponds to the line number of the system partner.If this value is 0, this means this inbound order line has been created by WAMAS.;
4;Item number;InboundOrderLine;iga.pkv.Item.itemNo;itemNo;S;20;0;;X; Is a part of the unique identification of an item. ;
5;Variant;InboundOrderLine;iga.pkv.Item.variant;variant;S;10;0;;X; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
6;BQU / WQU;InboundOrderLine;iga.pkv.numBquWqu;numBquWqu;D;12;3;;;Defines the number of base quantity units for the warehouse quantity as a factor. This value is calculated automatically and cannot be changed by the user.This factor is stored redundantly to gain performance during the process and in dialogs.To avoid rounding errors, the number of dual quantity units is stored as a fraction.;
7;System partner stock group;;;sysPartnerStockGroup;S;15;0;;;;
8;System partner stock rating;;;sysPartnerStockRating;S;15;0;;;;
9;Goods owner;InboundOrderLine;iga.gow.partner.partnerId;gow;S;15;0;;X;Unique identification of a partner object.;
10;Batch;InboundOrderLine;iga.batch;batch;S;20;0;;;The batch concerning the ordered or delivered goods.;
11;BBD;InboundOrderLine;iga.bbDate;bbDate;DA;8;0;;;The best before date concerning the ordered or delivered goods. See StockIdentifyingAttributes.;
12;Production date;InboundOrderLine;iga.prodDate;prodDate;DA;8;0;;;The production date concerning the ordered or delivered goods. See StockIdentifyingAttributes.;
13;Reservation number;InboundOrderLine;iga.reservationNo;reservationNo;S;20;0;;;The reservation number concerning the ordered or delivered goods.;
14;Cross Docking No.;InboundOrderLine;iga.cdNo;cdNo;S;20;0;;;Cross docking number of the item.;
15;CSIA 01;InboundOrderLine;iga.csia.csia01;csia1;S;50;0;;;Defines the type for customizable stock identifying attributes;
16;CSIA 02;InboundOrderLine;iga.csia.csia02;csia2;S;50;0;;;Defines the type for customizable stock identifying attributes;
17;CSIA 03;InboundOrderLine;iga.csia.csia03;csia3;S;50;0;;;Defines the type for customizable stock identifying attributes;
18;CSIA 04;InboundOrderLine;iga.csia.csia04;csia4;S;50;0;;;Defines the type for customizable stock identifying attributes;
19;CSIA 05;InboundOrderLine;iga.csia.csia05;csia5;S;50;0;;;Defines the type for customizable stock identifying attributes;
20;CSIA 06;InboundOrderLine;iga.csia.csia06;csia6;S;50;0;;;Defines the type for customizable stock identifying attributes;
21;CSIA 07;InboundOrderLine;iga.csia.csia07;csia7;S;50;0;;;Defines the type for customizable stock identifying attributes;
22;CSIA 08;InboundOrderLine;iga.csia.csia08;csia8;S;50;0;;;Defines the type for customizable stock identifying attributes;
23;CSIA 09;InboundOrderLine;iga.csia.csia09;csia9;S;50;0;;;Defines the type for customizable stock identifying attributes;
24;CSIA 10;InboundOrderLine;iga.csia.csia10;csia10;S;50;0;;;Defines the type for customizable stock identifying attributes;
25;CSIA 11;InboundOrderLine;iga.csia.csia11;csia11;S;50;0;;;Defines the type for customizable stock identifying attributes;
26;CSIA 12;InboundOrderLine;iga.csia.csia12;csia12;S;50;0;;;Defines the type for customizable stock identifying attributes;
27;CSIA 13;InboundOrderLine;iga.csia.csia13;csia13;S;50;0;;;Defines the type for customizable stock identifying attributes;
28;CSIA 14;InboundOrderLine;iga.csia.csia14;csia14;S;50;0;;;Defines the type for customizable stock identifying attributes;
29;CSIA 15;InboundOrderLine;iga.csia.csia15;csia15;S;50;0;;;Defines the type for customizable stock identifying attributes;
30;CSIA 16;InboundOrderLine;iga.csia.csia16;csia16;S;50;0;;;Defines the type for customizable stock identifying attributes;
31;CSIA 17;InboundOrderLine;iga.csia.csia17;csia17;S;50;0;;;Defines the type for customizable stock identifying attributes;
32;CSIA 18;InboundOrderLine;iga.csia.csia18;csia18;S;50;0;;;Defines the type for customizable stock identifying attributes;
33;CSIA 19;InboundOrderLine;iga.csia.csia19;csia19;S;50;0;;;Defines the type for customizable stock identifying attributes;
34;CSIA 20;InboundOrderLine;iga.csia.csia20;csia20;S;50;0;;;Defines the type for customizable stock identifying attributes;
35;Ordered LU-ID;InboundOrderLine;iga.orderedLuId;orderedLuId;S;20;0;;;OrderedLuId;
36;Ordered quantity;InboundOrderLine;orderAmount.baseQty;baseQty;D;12;3;;;The item quantity specification in its administration unit (base quantity unit). All state calculations, delivery fulfilled checks and so on are based on the base quantity. The dual quantity has no effect for those calculations. ;
37;Upper tolerance [%];InboundOrderLine;deliveryTolerance.upper;deliveryToleranceUpper;D;5;2;;;Upper tolerance in percentage.;
38;Lower tolerance [%];InboundOrderLine;deliveryTolerance.lower;deliveryToleranceLower;D;5;2;;;Lower tolerance in percentage.;
39;Inbound order line type;InboundOrderLine;lineType.ibolTypeId;ibolTypeId;S;20;0;;X;The identifier for an inbound order line type.;
40;From Requested delivery date;InboundOrderLine;requestedDeliveryDate.from;requestedDeliveryDateFrom;DT;14;0;;;Date and time without seconds. See: DATETIME;
41;To Requested delivery date;InboundOrderLine;requestedDeliveryDate.to;requestedDeliveryDateTo;DT;14;0;;;Date and time without seconds. See: DATETIME;
