# INVDPARTNER00007;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Inventory demand;InvPartnerRole;InventoryDemand.invNo;invNo;S;20;0;X;X;Is part of the unique identification of the InventoryDemand.;
2;Inventory demand partner role;InvPartnerRole;roleKind;roleKind;E;17;0;X;;;
3;Client;InvPartnerRole;invPartner.Client.clientId;clientId;S;10;0;X;X;Is the unique identification of a client.;
4;Partner;InvPartnerRole;invPartner.partnerId;partnerId;S;15;0;X;X;Unique identification of a partner object.;
5;Title;InvPartnerRole;addr.title;title;S;35;0;;;Special designation of a company or the degree of a person.;
6;Name;InvPartnerRole;addr.name;name;S;35;0;;;Name of a company or a person.;
7;Name 2;InvPartnerRole;addr.name2;name2;S;35;0;;;Name of a company or a person.;
8;Name 3;InvPartnerRole;addr.name3;name3;S;35;0;;;Name of a company or a person.;
9;Name 4;InvPartnerRole;addr.name4;name4;S;35;0;;;Name of a company or a person.;
10;Street;InvPartnerRole;addr.street;street;S;35;0;;;Street and street (house) number or post office box.;
11;City;InvPartnerRole;addr.city;city;S;35;0;;;It is part of the address.;
12;District;InvPartnerRole;addr.district;district;S;35;0;;;The district of an address;
13;Region;InvPartnerRole;addr.region;region;S;35;0;;;Possible content: province, federal state, canton, area, county;
14;Country;InvPartnerRole;addr.Country.countryId;country;S;2;0;;X;The unique identifier for a country. ISO 3166-1 Alpha 2 Code.;
15;ZIP code;InvPartnerRole;addr.zipCode;zipCode;S;10;0;;;ZIP code of the city origin.;
16;Phone;InvPartnerRole;addr.phone;phone;S;40;0;;;Phone number.;
17;Fax;InvPartnerRole;addr.fax;fax;S;40;0;;;Fax number.;
18;Email;InvPartnerRole;addr.email;email;S;255;0;;;An email address.;
19;Website;InvPartnerRole;addr.website;webSite;S;40;0;;;The address of the website.;
20;GLN;InvPartnerRole;addr.gln;gln;S;13;0;;;The global location number (GLN), as well as the international location number, is used to identify the denotation of companies on an international level, including the address. It is a thirteen digit number comprising a three digit prefix EAN-country reference. The number is determined by the GS1 organisations.;
21;Language;InvPartnerRole;addr.Language.langId;language;S;6;0;X;X;Is the unique identifaction of a language, in compliance with ISO 639-2/B Alpha 3 Code. In case ISO specifies more than one code, the B-Code variant is used (ger instead of deu). If a particular language has regional differences, the 2-character country code according to ISO-3166 is used (eng-US, eng-UK, ger-CH, ger-AT, ger-DE).Info: ISO 639 is the set of international standards that lists short codes for language names.See also: LANGISOALPHA2ID.;
22;Time zone;InvPartnerRole;addr.timezone;timeZone;S;100;0;;;Timezone value, for e.g. "Europe/Vienna".;
