# PICKINGLOCASSIGNMENT00008;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Warehouse location;PickingLocAssignment;whLoc.whLocId;whLoc;S;20;0;X;X;The identifier of the warehouse location.;
2;Picking area;PickingLocAssignment;pickingArea.areaId;areaId;S;10;0;;X;A unique ID of the area within the WhLoc;
3;Picking location group;PickingLocAssignment;pickingLocGroup.groupId;groupId;S;10;0;;X;Unique ID of the group of picking locations.;
4;Storage location;PickingLocAssignment;pickingLoc.stoLocId;stoLocId;S;20;0;;X;The identifier of the storage location per warehouse location.;
5;Client;PickingLocAssignment;client.clientId;clientId;S;10;0;X;X;Is the unique identification of a client.;
6;Item number;PickingLocAssignment;item.itemNo;itemNo;S;20;0;;X; Is a part of the unique identification of an item. ;
7;Variant;PickingLocAssignment;item.variant;variant;S;10;0;;X; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
8;BQU / WQU;PickingLocAssignment;packagingVersion.numBquWqu;numBquWqu;D;9;0;;;Defines the number of base quantity units for the warehouse quantity as a factor. This value is calculated automatically and cannot be changed by the user.This factor is stored redundantly to gain performance during the process and in dialogs.To avoid rounding errors, the number of dual quantity units is stored as a fraction.;
9;Goods category;PickingLocAssignment;goodsCategory.id;goodsCategory;S;10;0;;; Is part of the unique identification of a goods category. ;
10;From;PickingLocAssignment;validity.from;validityFrom;DT;14;0;;;Date and time without seconds. See: DATETIME;
11;To;PickingLocAssignment;validity.to;validityTo;DT;14;0;;;Date and time without seconds. See: DATETIME;
12;Picking quantity (min.) Quantity;PickingLocAssignment;minPickQty.qty;minPickQty;D;12;0;;;Defines the value of the minimum picking quantity in BQU or WQU or other units.;
13;Picking quantity (min.) Quantity unit kind;PickingLocAssignment;minPickQty.qtyUnitKind;minPickUnitKind;E;5;0;;;Defines if the quantity is in BQU or WQU or other units.;
14;Picking quantity (min.) Quantity unit;PickingLocAssignment;minPickQty.qtyUnit.id;minPickUnitId;S;5;0;;X; Is part of the unique identification of a quantity unit. ;
15;Whole quantity unit;PickingLocAssignment;wholeQtyRes.wholeQtyUnitKind;wholeQtyUnitKind;E;5;0;;;Specifies which unit (BQU, WQU) should be used as whole quantity unit.;
16;Whole quantity unit restriction Quantity unit;PickingLocAssignment;wholeQtyRes.qtyUnit.id;wholeQtyUnitId;S;5;0;;X; Is part of the unique identification of a quantity unit. ;
17;Normal threshold Quantity;PickingLocAssignment;replP.normTh.qty;replNormThQty;D;12;0;;;Absolute quantity.;
18;Normal threshold Quantity unit kind;PickingLocAssignment;replP.normTh.qtyUnitKind;replNormThUnitKind;E;5;0;;;Defines if the amount is interpreted as base quantity unit or warehouse quantity unit or other units.;
19;Normal threshold Quantity unit;PickingLocAssignment;replP.normTh.qtyUnit.id;replNormThUnitId;S;5;0;;X; Is part of the unique identification of a quantity unit. ;
20;Normal threshold Percentage;PickingLocAssignment;replP.normTh.perc;replNormThPerc;N;4;0;;;Quantity given as percentage of a whole loading unit value from 1 to 99.;
21;Critical threshold Quantity;PickingLocAssignment;replP.critTh.qty;replCritThQty;D;12;0;;;Absolute quantity.;
22;Critical threshold Quantity unit kind;PickingLocAssignment;replP.critTh.qtyUnitKind;replCritThUnitKind;E;5;0;;;Defines if the amount is interpreted as base quantity unit or warehouse quantity unit or other units.;
