# WCS_PICKACKSO00008;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Picking order;PickingOrder;orderId;orderId;S;10;0;X;;The unique ID of this picking order.;
2;Picking order line;;;lineId;N;5;0;X;;Sample RecordTypeTag.createNonModeled(...) with documentation text;
3;LU-ID;LoadUnit;luId;luId;S;20;0;X;;Is part of the unique identification of a stock object bundle.;
4;LU origin;LoadUnit;luOrigin;luOrigin;S;20;0;X;;Is part of the unique identification of a stock object bundle.;
5;Client;Client;clientId;clientId;S;10;0;X;;Is the unique identification of a client.;
6;Item number;Item;itemNo;itemNo;S;20;0;X;; Is a part of the unique identification of an item. ;
7;Variant;Item;variant;variant;S;10;0;X;; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
8;Packaging version;PackagingVersion;id;pkv;N;5;0;X;;Since an item can have several packaging versions, the id is used to distinguish them.;
9;Quantity;StockObject;amount.baseQty;baseQty;D;12;3;X;;The item quantity specification in its administration unit (base quantity unit). All state calculations, delivery fulfilled checks and so on are based on the base quantity. The dual quantity has no effect for those calculations. ;
10;Dual quantity;StockObject;amount.dualQty;dualQty;D;12;3;;;The quantity measure for dual items. This quantity is needed in addition to the base quantity in order to uniquely identify the item. ;
11;Goods owner;StockObject;sia.gow.partner.partnerId;gow;S;15;0;X;X;Unique identification of a partner object.;
12;Stock rating;StockObject;sia.stockRating.id;stockRating;S;15;0;X;X;Unique identification of a stock rating object.;
13;BBD;StockObject;sia.bbDate;bbDate;DA;8;0;;;The best before date indicates the length of time goods (e.g. food) are at least non-perishable if stored properly.;
14;Batch;StockObject;sia.batch;batch;S;20;0;;; The total amount of goods of an article produced in a certain clearly documented production process.Normally, the batch is identified by the batch number. The total amount of goods of an item produced in a certain clearly documented production process.;
15;Production date;StockObject;sia.prodDate;prodDate;DA;8;0;;;The production date defines the date on which the product was manufactured.;
16;Reservation number;StockObject;sia.reservationNo;reservationNo;S;20;0;;;Through reservations the stock is divided into free and reserved stock. The reservation number defines the purpose of the stock.Special offers (!= Promotional products)Pre-sales...Reserved stock gets a reservation number during goods in processing. A delivery can only be carried out with reference to an existing reservation number.;
17;Cross Docking No.;StockObject;sia.cdNo;cdNo;S;20;0;;;The cross docking number identifies goods for cross docking.;
18;CSIA 01;WcsPickAckSo;sia.csia.csia01;csia1;S;50;0;;;Defines the type for customizable stock identifying attributes;
19;CSIA 02;WcsPickAckSo;sia.csia.csia02;csia2;S;50;0;;;Defines the type for customizable stock identifying attributes;
20;CSIA 03;WcsPickAckSo;sia.csia.csia03;csia3;S;50;0;;;Defines the type for customizable stock identifying attributes;
21;CSIA 04;WcsPickAckSo;sia.csia.csia04;csia4;S;50;0;;;Defines the type for customizable stock identifying attributes;
22;CSIA 05;WcsPickAckSo;sia.csia.csia05;csia5;S;50;0;;;Defines the type for customizable stock identifying attributes;
23;CSIA 06;WcsPickAckSo;sia.csia.csia06;csia6;S;50;0;;;Defines the type for customizable stock identifying attributes;
24;CSIA 07;WcsPickAckSo;sia.csia.csia07;csia7;S;50;0;;;Defines the type for customizable stock identifying attributes;
25;CSIA 08;WcsPickAckSo;sia.csia.csia08;csia8;S;50;0;;;Defines the type for customizable stock identifying attributes;
26;CSIA 09;WcsPickAckSo;sia.csia.csia09;csia9;S;50;0;;;Defines the type for customizable stock identifying attributes;
27;CSIA 10;WcsPickAckSo;sia.csia.csia10;csia10;S;50;0;;;Defines the type for customizable stock identifying attributes;
28;CSIA 11;WcsPickAckSo;sia.csia.csia11;csia11;S;50;0;;;Defines the type for customizable stock identifying attributes;
29;CSIA 12;WcsPickAckSo;sia.csia.csia12;csia12;S;50;0;;;Defines the type for customizable stock identifying attributes;
30;CSIA 13;WcsPickAckSo;sia.csia.csia13;csia13;S;50;0;;;Defines the type for customizable stock identifying attributes;
31;CSIA 14;WcsPickAckSo;sia.csia.csia14;csia14;S;50;0;;;Defines the type for customizable stock identifying attributes;
32;CSIA 15;WcsPickAckSo;sia.csia.csia15;csia15;S;50;0;;;Defines the type for customizable stock identifying attributes;
33;CSIA 16;WcsPickAckSo;sia.csia.csia16;csia16;S;50;0;;;Defines the type for customizable stock identifying attributes;
34;CSIA 17;WcsPickAckSo;sia.csia.csia17;csia17;S;50;0;;;Defines the type for customizable stock identifying attributes;
35;CSIA 18;WcsPickAckSo;sia.csia.csia18;csia18;S;50;0;;;Defines the type for customizable stock identifying attributes;
36;CSIA 19;WcsPickAckSo;sia.csia.csia19;csia19;S;50;0;;;Defines the type for customizable stock identifying attributes;
37;CSIA 20;WcsPickAckSo;sia.csia.csia20;csia20;S;50;0;;;Defines the type for customizable stock identifying attributes;
38;Gross weight;StockObject;keyData.grossWeight.value;grossWeight;D;12;3;;;Specifies the value (or amount) in weight unit which was entered by a user.;
39;Gross weight unit;StockObject;keyData.grossWeight.unit.id;grossWeightUnit;S;5;0;;X;Uniquely identifies the weight unit.;
