# ASRS_LUINFOACK00001;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;LU-ID;LoadUnit;luId;luId;S;20;0;X;;Is part of the unique identification of a stock object bundle.;
2;Loading aid;LoadUnit;LoadAid.loadAidId;loadAidId;S;10;0;X;X;Unique identification of a loading aid (see LoadAid).;
3;Storage location;LoadUnit;stoLoc.stoLocId;stoLocId;S;20;0;X;X;The identifier of the storage location per warehouse location.;
4;Storage location purpose in ASRS;AsrsStoLocPurposeAssignment;asrsStoLocPurpose;stoLocPurpose;E;20;0;X;;Defines the StoLoc purpose used in ASRS_LUINFOACK00001;
5;State;;;state;E;7;0;X;;It refers to the state of a loading unit.;com.wamas.wms.biz.asrs.lib.di.luinfoack.AsrsLoadUnitState
6;Gross weight;LoadUnit;ownKeyD.grossWeight;weight;D;12;0;X;;The gross weight of the stock object bundle.Redundant data management for performance reasons.This weight is required in connection with the storage location search (field load calculation) and the outgoing goods process.;
7;Z;LoadUnit;grossDimension.z;height;D;12;0;X;;The length triple is used to store a length in meters (which is crucial for the software) and in the unit it was entered by the user (which is important to the user of the application).;
8;Storage duration;;;storageDuration;E;5;0;X;;It defines how long a loading unit is expected to be stored in the warehouse.;com.wamas.wms.biz.asrs.lib.di.AsrsStorageDuration
9;Storage location purpose in ASRS;AsrsStoLocPurposeAssignment;asrsStoLocPurpose;destinationStoLocPurpose;E;20;0;X;;Defines the StoLoc purpose used in ASRS_LUINFOACK00001;
10;Storage attribute 1;;;storageAttribute1;S;100;0;;;It refers to a customizable stock-identifying attribute, which is considered during the storage location search.;
11;Storage attribute 2;;;storageAttribute2;S;100;0;;;It refers to a customizable stock-identifying attribute, which is considered during the storage location search.;
12;Storage attribute 3;;;storageAttribute3;S;100;0;;;It refers to a customizable stock-identifying attribute, which is considered during the storage location search.;
13;Blocked storage location;;;stoLocBlocked;B;1;0;;;It indicates if a storage location is blocked.;
14;Erroneous loading unit;;;luError;B;1;0;;;It indicates if a loading unit is an erroneous loading unit.;
