# FWCS_FFOPICKACK00001;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Picking area;PickingActivity;stoLocLabel.stoLoc.stoComp.pickingArea.areaId;areaId;S;10;0;;X;A unique ID of the area within the WhLoc;
2;Storage location;PickingActivity;stoLocLabel.stoLoc.stoLocId;stoLocId;S;20;0;X;X;The identifier of the storage location per warehouse location.;
3;Item number;FulfillmentOrderItemLine;packagingVersion.Item.itemNo;itemNo;S;20;0;X;X; Is a part of the unique identification of an item. ;
4;Variant;FulfillmentOrderItemLine;packagingVersion.Item.variant;variant;S;10;0;X;X; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
5;BQU / WQU;FulfillmentOrderItemLine;packagingVersion.numBquWqu;numBquWqu;D;12;3;X;;Defines the number of base quantity units for the warehouse quantity as a factor. This value is calculated automatically and cannot be changed by the user.This factor is stored redundantly to gain performance during the process and in dialogs.To avoid rounding errors, the number of dual quantity units is stored as a fraction.;
6;System partner line;FulfillmentOrderItemLine;sysPartnerLine;sysPartnerLine;N;10;0;X;;The associated line of the initial system partner telegram. If a delivery line is added within WAMAS, then this number is set to 0.;
7;Ordered quantity;FulfillmentOrderItemLine;orderedWqu;orderedWqu;D;6;0;X;;Number of ordered WQUs;
8;Delivered quantity;FulfillmentOrderItemLine;deliveredWqu;pickedWqu;D;6;0;X;;Number of delivered WQUs;
9;Empty location;;;emptyLoc;B;1;0;;;Indicates if the picking location is empty.;
10;Data state;;;recordState;E;6;0;;;;com.wamas.wms.core.di.recordtypes.RecordState
