# IBDACK00012;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Client;InboundDelivery;Client.clientId;clientId;S;10;0;X;X;Is the unique identification of a client.;
2;Inbound delivery number;InboundDelivery;ibdNo;ibdNo;S;20;0;X;;The inbound delivery number is part of the unique identifier of the inbound delivery.;
3;System partner;InboundDelivery;sysPartner.id;systemPartner;S;10;0;X;X;Unique identification of a system partner (see SystemPartner).;
4;Warehouse location;InboundDelivery;whLoc.whLocId;whLoc;S;20;0;X;X;The identifier of the warehouse location.;
5;Inbound delivery type;InboundDelivery;type.ibdTypeId;ibdTypeId;S;20;0;X;X;The identifier for an inbound delivery type.;
6;From Delivery time slot;InboundDelivery;deliveryTimeSlot.from;deliveryTimeSlotFrom;DT;14;0;?;;Date and time without seconds. See: DATETIME;
7;To Delivery time slot;InboundDelivery;deliveryTimeSlot.to;deliveryTimeSlotTo;DT;14;0;?;;Date and time without seconds. See: DATETIME;
8;Delivery note number;InboundDelivery;deliveryNoteNo;deliveryNoteNo;S;35;0;;;The number of the delivery note.;
9;Delivery note date;InboundDelivery;deliveryNoteDate;deliveryNoteDate;DA;8;0;;;The date of the delivery note.;
10;Priority;InboundDelivery;priority;priority;N;1;0;;;0 = lowest priority9 = highest priority;
11;Main state;InboundDelivery;state.mainState;mainState;E;8;0;X;;Defines the inbound delivery main state.;
12;LA exchange state;InboundDelivery;state.laExchangeState;laExchange;E;15;0;X;;Indicates the state of the loading aid exchange.;
