# INVDLACK00006;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Inventory demand;InventoryDemandLine;InventoryDemand.invNo;invNo;S;20;0;X;X;Is part of the unique identification of the InventoryDemand.;
2;System partner;InventoryDemandLine;InventoryDemand.SystemPartner.id;systemPartner;S;10;0;X;X;Unique identification of a system partner (see SystemPartner).;
3;System partner line;InventoryDemandLine;sysPartnerLine;sysPartnerLine;N;10;0;X;;This class contains the length of the INV line.;
4;Inventory demand line;InventoryDemandLine;line;line;N;10;0;X;;Is part of the unique identification of the InventoryDemandLine.;
5;Client;InventoryDemandLine;res.item.client.clientId;clientId;S;10;0;;X;Is the unique identification of a client.;
6;Assortment;InventoryDemandLine;res.item.assortment.id;assortment;S;10;0;;X;Is the unique identification of an assortment.;
7;Goods category;InventoryDemandLine;res.item.goodsCat.id;goodsCategory;S;10;0;;X; Is part of the unique identification of a goods category. ;
8;Packaging version Item number;InventoryDemandLine;res.item.packVersion.Item.itemNo;itemNo;S;20;0;;X; Is a part of the unique identification of an item. ;
9;Packaging version Variant;InventoryDemandLine;res.item.packVersion.Item.variant;variant;S;10;0;;X; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
10;Packaging version BQU / WQU;InventoryDemandLine;res.item.packVersion.numBquWqu;numBquWqu;D;12;3;;;Defines the number of base quantity units for the warehouse quantity as a factor. This value is calculated automatically and cannot be changed by the user.This factor is stored redundantly to gain performance during the process and in dialogs.To avoid rounding errors, the number of dual quantity units is stored as a fraction.;
11;System partner stock group;;;sysPartnerStockGroup;S;15;0;;;;
12;System partner stock rating;;;sysPartnerStockRating;S;15;0;;;;
13;Goods owner;InventoryDemandLine;res.item.gow;gow;S;15;0;;;;
14;Batch;InventoryDemandLine;res.item.batch;batch;S;20;0;;;Only stock objects matching this batch are relevant for inventory.;
15;BBD From;InventoryDemandLine;res.item.bbDate.from;bbDateFrom;DA;8;0;;;A datetime provides the day, month and year of a point in time.;
16;BBD To;InventoryDemandLine;res.item.bbDate.to;bbDateTo;DA;8;0;;;A datetime provides the day, month and year of a point in time.;
17;Production date From;InventoryDemandLine;res.item.prodDate.from;prodDateFrom;DA;8;0;;;A datetime provides the day, month and year of a point in time.;
18;Production date To;InventoryDemandLine;res.item.prodDate.to;prodDateTo;DA;8;0;;;A datetime provides the day, month and year of a point in time.;
19;Reservation number;InventoryDemandLine;res.item.reservationNo;reservationNo;S;20;0;;;Only stock objects matching this reservation number are relevant for inventory.;
20;Cross Docking No.;InventoryDemandLine;res.item.cdNo;cdNo;S;20;0;;;Only stock objects matching this cross docking number are relevant for inventory.;
21;CSIA 01;InventoryDemandLine;res.item.csia.csia01;csia1;S;50;0;;;Defines the type for customizable stock identifying attributes;
22;CSIA 02;InventoryDemandLine;res.item.csia.csia02;csia2;S;50;0;;;Defines the type for customizable stock identifying attributes;
23;CSIA 03;InventoryDemandLine;res.item.csia.csia03;csia3;S;50;0;;;Defines the type for customizable stock identifying attributes;
24;CSIA 04;InventoryDemandLine;res.item.csia.csia04;csia4;S;50;0;;;Defines the type for customizable stock identifying attributes;
25;CSIA 05;InventoryDemandLine;res.item.csia.csia05;csia5;S;50;0;;;Defines the type for customizable stock identifying attributes;
26;CSIA 06;InventoryDemandLine;res.item.csia.csia06;csia6;S;50;0;;;Defines the type for customizable stock identifying attributes;
27;CSIA 07;InventoryDemandLine;res.item.csia.csia07;csia7;S;50;0;;;Defines the type for customizable stock identifying attributes;
28;CSIA 08;InventoryDemandLine;res.item.csia.csia08;csia8;S;50;0;;;Defines the type for customizable stock identifying attributes;
29;CSIA 09;InventoryDemandLine;res.item.csia.csia09;csia9;S;50;0;;;Defines the type for customizable stock identifying attributes;
30;CSIA 10;InventoryDemandLine;res.item.csia.csia10;csia10;S;50;0;;;Defines the type for customizable stock identifying attributes;
31;CSIA 11;InventoryDemandLine;res.item.csia.csia11;csia11;S;50;0;;;Defines the type for customizable stock identifying attributes;
32;CSIA 12;InventoryDemandLine;res.item.csia.csia12;csia12;S;50;0;;;Defines the type for customizable stock identifying attributes;
33;CSIA 13;InventoryDemandLine;res.item.csia.csia13;csia13;S;50;0;;;Defines the type for customizable stock identifying attributes;
34;CSIA 14;InventoryDemandLine;res.item.csia.csia14;csia14;S;50;0;;;Defines the type for customizable stock identifying attributes;
35;CSIA 15;InventoryDemandLine;res.item.csia.csia15;csia15;S;50;0;;;Defines the type for customizable stock identifying attributes;
36;CSIA 16;InventoryDemandLine;res.item.csia.csia16;csia16;S;50;0;;;Defines the type for customizable stock identifying attributes;
37;CSIA 17;InventoryDemandLine;res.item.csia.csia17;csia17;S;50;0;;;Defines the type for customizable stock identifying attributes;
38;CSIA 18;InventoryDemandLine;res.item.csia.csia18;csia18;S;50;0;;;Defines the type for customizable stock identifying attributes;
39;CSIA 19;InventoryDemandLine;res.item.csia.csia19;csia19;S;50;0;;;Defines the type for customizable stock identifying attributes;
40;CSIA 20;InventoryDemandLine;res.item.csia.csia20;csia20;S;50;0;;;Defines the type for customizable stock identifying attributes;
41;Item kind;InventoryDemandLine;res.item.itemKind;itemKind;E;11;0;;;Only items matching this item kind are relevant for inventory. If the item kind is set to UNDEFINED it is not considered.;
42;Last inventory time of stock object;InventoryDemandLine;res.item.lastInvTimeSO;lastInvTimeSo;DT;14;0;;;Only stock objects whose last inventory time is smaller than this time are relevant for inventory.;
43;Last item inventory time ;InventoryDemandLine;res.item.lastInvTimeItem;lastInvTimeItem;DT;14;0;;;This is the timestamp of the last inventory of an item on a warehouse location. This timestamp is used as an item specific restriction during the creation of an inventory demand or inventory order.;
44;From Registration time;InventoryDemandLine;res.item.regTime.from;regTimeFrom;DT;14;0;;;A datetime provides the day, month, year and hour, minute and second of a point in time.;
45;To Registration time;InventoryDemandLine;res.item.regTime.to;regTimeTo;DT;14;0;;;A datetime provides the day, month, year and hour, minute and second of a point in time.;
46;Total stock From;InventoryDemandLine;res.item.totalStock.from;totalStockFrom;D;12;3;;;The minimum amount.;
47;Total stock To;InventoryDemandLine;res.item.totalStock.to;totalStockTo;D;12;3;;;The maximum amount.;
48;Total stock Quantity unit kind;InventoryDemandLine;res.item.totalStock.qtyKind;totalQtyKind;E;3;0;;;Specifies if the amounts are in base or warehouse quantity units.;
49;LU-ID;InventoryDemandLine;res.lu.loadUnit.luId;luId;S;20;0;;X;Is part of the unique identification of a stock object bundle.;
50;Last inventory time of loading unit;InventoryDemandLine;res.lu.lastInvTimeLU;lastInvTimeLU;DT;12;0;;;Only loading units whose last inventory time is smaller than this time are relevant for inventory.;
51;Storage location;InventoryDemandLine;res.wh.stoLoc.stoLocId;stoLocId;S;20;0;;X;The identifier of the storage location per warehouse location.;
52;Inventory area;InventoryDemandLine;res.wh.invArea.areaId;invArea;S;10;0;;X;The unique ID of the inventory area.;
53;Physical warehouse area;InventoryDemandLine;res.wh.physArea.areaId;physArea;S;10;0;;X;The identifier of the storage area per warehouse location.;
54;Storage compartment group number;InventoryDemandLine;res.wh.rack.compGroupId;compGroupId;S;20;0;?;X;The number of the group. Part of the identifier of a group.;
55;Storage compartment group segment;InventoryDemandLine;res.wh.rack.compGroupSegment;compGroupSeg;N;2;0;?;X;Indicates which segment of the group is concerned. Part of the identifier of a storage compartment group.;
56;Storage compartment;InventoryDemandLine;res.wh.stoComp.stoCompId;stoComp;S;20;0;;X;The identifier of the storage compartment per warehouse location.;
57;Last inventory time of storage location;InventoryDemandLine;res.wh.lastInvTimeStoLoc;lastInvTimeStoLoc;DT;12;0;;;Only storage locations whose last inventory time is smaller than this time are relevant for inventory.;
58;Content kind;InventoryDemandLine;res.wh.contentKind;contentKind;E;9;0;;;Defines if loading unit managed, quantity managed or all storage locations are relevant for the inventory.;
59;Stock on storage location From;InventoryDemandLine;res.wh.stoLocStock.from;stockFrom;D;12;3;;;The minimum amount.;
