# OBDACK00011;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Client;OutboundDelivery;Client.clientId;clientId;S;10;0;X;X;Is the unique identification of a client.;
2;Outbound delivery number;OutboundDelivery;obdNo;obdNo;S;20;0;X;;Each outbound delivery has an unique identifier, the outbound delivery number. Outbound deliveries of different clients and system partners can however have the same delivery number.;
3;System partner;OutboundDelivery;sysPartner.id;systemPartner;S;10;0;X;X;Unique identification of a system partner (see SystemPartner).;
4;Warehouse location;OutboundDelivery;whLoc.whLocId;whLoc;S;20;0;X;X;The identifier of the warehouse location.;
5;Outbound delivery type;OutboundDelivery;type.obdTypeId;obdTypeId;S;20;0;X;X;The identifier for the outbound delivery type. Each client may maintain multiple, unique delivery types.;
6;Delivery time;OutboundDelivery;deliveryTime;deliveryTime;DT;14;0;;;The time the delivery reaches the customer.;
7;Staging time;OutboundDelivery;stagingTime;stagingTime;DT;14;0;;;The date/time when all loading units of this delivery have to be in the staging area.;
8;Loading time;OutboundDelivery;loadingTime;loadingTime;DT;14;0;;;The date/time when all loading units of this delivery have to be loaded.;
9;Departure time;OutboundDelivery;departureTime;departureTime;DT;14;0;;;The time the delivery leaves the warehouse.;
10;Shipping method;OutboundDelivery;shippingMethod.methodId;shippingMethod;S;10;0;;X;Unique identification of a shipping method.;
11;Requested shipping category;OutboundDelivery;reqShippingCategory.categoryId;shippingCategory;S;10;0;;X;Unique identification of a shipping category (see ShippingCategory).;
12;Priority;OutboundDelivery;priority;priority;N;1;0;;;Defines the priority of this delivery.;
13;Cash on delivery;OutboundDelivery;cashOnDelivery.value;cashOnDeliveryValue;D;12;3;;;Specifies the value (or amount) in currency unit which was entered by a user.;
14;Cash on delivery unit;OutboundDelivery;cashOnDelivery.unit.id;cashOnDeliveryUnit;S;5;0;;X;Uniquely identifies the currency unit.;
15;Delivery condition Site;OutboundDelivery;deCond.site;conditionSite;S;20;0;;;Delivery location;
16;Terms of delivery;OutboundDelivery;deCond.termOfDelivery.id;termOfDelivery;S;10;0;;X;Part of the unique identifier.;
17;Delivery category;OutboundDelivery;category.id;category;S;10;0;;X;The identification of the delivery category.;
18;Outgoing goods area;OutboundDelivery;loadingPoint.area.areaId;outgoingArea;S;10;0;;X;The unique ID of this area within the WhLoc;
19;Dock;OutboundDelivery;loadingPoint.dock.dockId;dock;S;10;0;;X;The unique ID of the dock;
20;Staging area;OutboundDelivery;loadingPoint.staging.areaId;stagingArea;S;10;0;;X;Unique ID for the staging area.;
21;Storage location;OutboundDelivery;loadingPoint.stoLoc.stoLocId;stoLocId;S;20;0;;X;The identifier of the storage location per warehouse location.;
22;Planned # WQU;OutboundDelivery;plaKeyData.numWhQtyUnits;plaNumWhQtyUnits;N;10;0;;;Defines the total number of warehouse quantity units of the delivery.;
23;Planned Total dangerous goods points;OutboundDelivery;plaKeyData.totDanGoodsPoints;plaTotDanGoodsPoints;N;15;0;;;Defines the total planned dangerous goods points of the delivery.;
24;Planned Total gross weight;OutboundDelivery;plaKeyData.totGrWt.value;plaTotGrWtValue;D;12;3;;;Specifies the value (or amount) in weight unit which was entered by a user.;
25;Planned Total gross weight unit;OutboundDelivery;plaKeyData.totGrWt.unit.id;plaTotGrWtUnit;S;5;0;;X;Uniquely identifies the weight unit.;
26;Planned Total volume;OutboundDelivery;plaKeyData.totVol.value;plaTotVolValue;D;12;3;;;Specifies the value (or amount) in volume unit which was entered by a user.;
27;Planned Total volume unit;OutboundDelivery;plaKeyData.totVol.unit.id;plaTotVolUnit;S;5;0;;X;Uniquely identifies the volume unit.;
28;Planned # Lines;OutboundDelivery;plaKeyData.numLines;plaNumLines;N;5;0;;;The delivery's total number of lines.;
29;Planned # Primary lines;OutboundDelivery;plaKeyData.numPrimaryLines;plaNumPrimaryLines;N;5;0;;;The delivery's total number of primary lines.;
30;Planned # Picking plan LUs;OutboundDelivery;plaKeyData.numPPLUs;plaNumPPLUs;N;5;0;;;The delivery's total number of picking plan loading units.;
31;Planned # Whole plan LUs;OutboundDelivery;plaKeyData.numWPLUs;plaNumWPLUs;N;5;0;;;The delivery's total number of whole plan loading units.;
32;Planned # Shipment plan LUs;OutboundDelivery;plaKeyData.numSPLUs;plaNumSPLUs;N;5;0;;;The delivery's total number of shipment plan loading units.;
33;Delivered # WQU;OutboundDelivery;delKeyData.numWhQtyUnits;delNumWhQtyUnits;N;10;0;;;Defines the total number of warehouse quantity units of the delivery.;
34;Delivered Total dangerous goods points;OutboundDelivery;delKeyData.totDanGoodsPoints;delTotDanGoodsPoints;N;15;0;;;Defines the total delivered dangerous goods points of the delivery.;
