# OBDLACK00009;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Client;OutboundDeliveryLine;OutboundDelivery.Client.clientId;clientId;S;10;0;X;X;Is the unique identification of a client.;
2;Outbound delivery number;OutboundDeliveryLine;OutboundDelivery.obdNo;obdNo;S;20;0;X;X;Each outbound delivery has an unique identifier, the outbound delivery number. Outbound deliveries of different clients and system partners can however have the same delivery number.;
3;System partner;OutboundDelivery;sysPartner.id;systemPartner;S;10;0;X;X;Unique identification of a system partner (see SystemPartner).;
4;System partner line;OutboundDeliveryLine;sysPartnerLine;sysPartnerLine;N;10;0;X;;The associated line of the initial system partner telegram. If a delivery line is added within WAMAS, then this number is set to 0.;
5;Outbound delivery line;OutboundDeliveryLine;line;line;N;10;0;X;;It is part of the unique identification of the outbound delivery line. When the line was created via the interface, it is equal to the 'sysPartnerLine'.;
6;Cross Docking 1;OutboundDeliveryLine;cd1;cd1;B;1;0;;;Indicates whether this line will be fulfilled via cross docking 1. This means thatseparate PPLUs will be created for the cross docking lines and these PPLUs willbe directly fulfilled by incoming goods loading units without any picking involved.;
7;Item number;OutboundDeliveryLine;oga.pkv.Item.itemNo;itemNo;S;20;0;X;X; Is a part of the unique identification of an item. ;
8;Variant;OutboundDeliveryLine;oga.pkv.Item.variant;variant;S;10;0;X;X; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
9;BQU / WQU;OutboundDeliveryLine;oga.pkv.numBquWqu;numBquWqu;D;12;3;X;;Defines the number of base quantity units for the warehouse quantity as a factor. This value is calculated automatically and cannot be changed by the user.This factor is stored redundantly to gain performance during the process and in dialogs.To avoid rounding errors, the number of dual quantity units is stored as a fraction.;
10;System partner stock group;SysPartnerStockGroup;id;stockGroupId;S;15;0;;;Unique identification of a system partner stock group (see SysPartnerStockGroup).;
11;Goods owner;OutboundDeliveryLine;oga.gow.partner.partnerId;gow;S;15;0;;X;Unique identification of a partner object.;
12;Batch;OutboundDeliveryLine;oga.batch;batch;S;20;0;;;Batch of the item.;
13;Remaining shelf life;OutboundDeliveryLine;oga.remainingLife.value;remainingLifeValue;D;12;3;;;Specifies the value (or amount) in the duration unit entered by the user.;
14;Remaining shelf life unit;OutboundDeliveryLine;oga.remainingLife.unit.id;remainingLifeUnit;S;5;0;;X;Uniquely identifies the time unit.;
15;BBD;OutboundDeliveryLine;oga.bbDate;bbDate;DA;8;0;;;Best before date of the item.;
16;Production date;OutboundDeliveryLine;oga.prodDate;prodDate;DA;8;0;;;The production date defines the date on which the product was manufactured.;
17;Reservation number;OutboundDeliveryLine;oga.reservationNo;reservationNo;S;20;0;;;Reservation number of the item.;
18;Cross Docking No.;OutboundDeliveryLine;oga.cdNo;cdNo;S;20;0;;;Cross docking number of the item.;
19;CSIA 01;OutboundDeliveryLine;oga.csia.csia01;csia1;S;50;0;;;Defines the type for customizable stock identifying attributes;
20;CSIA 02;OutboundDeliveryLine;oga.csia.csia02;csia2;S;50;0;;;Defines the type for customizable stock identifying attributes;
21;CSIA 03;OutboundDeliveryLine;oga.csia.csia03;csia3;S;50;0;;;Defines the type for customizable stock identifying attributes;
22;CSIA 04;OutboundDeliveryLine;oga.csia.csia04;csia4;S;50;0;;;Defines the type for customizable stock identifying attributes;
23;CSIA 05;OutboundDeliveryLine;oga.csia.csia05;csia5;S;50;0;;;Defines the type for customizable stock identifying attributes;
24;CSIA 06;OutboundDeliveryLine;oga.csia.csia06;csia6;S;50;0;;;Defines the type for customizable stock identifying attributes;
25;CSIA 07;OutboundDeliveryLine;oga.csia.csia07;csia7;S;50;0;;;Defines the type for customizable stock identifying attributes;
26;CSIA 08;OutboundDeliveryLine;oga.csia.csia08;csia8;S;50;0;;;Defines the type for customizable stock identifying attributes;
27;CSIA 09;OutboundDeliveryLine;oga.csia.csia09;csia9;S;50;0;;;Defines the type for customizable stock identifying attributes;
28;CSIA 10;OutboundDeliveryLine;oga.csia.csia10;csia10;S;50;0;;;Defines the type for customizable stock identifying attributes;
29;CSIA 11;OutboundDeliveryLine;oga.csia.csia11;csia11;S;50;0;;;Defines the type for customizable stock identifying attributes;
30;CSIA 12;OutboundDeliveryLine;oga.csia.csia12;csia12;S;50;0;;;Defines the type for customizable stock identifying attributes;
31;CSIA 13;OutboundDeliveryLine;oga.csia.csia13;csia13;S;50;0;;;Defines the type for customizable stock identifying attributes;
32;CSIA 14;OutboundDeliveryLine;oga.csia.csia14;csia14;S;50;0;;;Defines the type for customizable stock identifying attributes;
33;CSIA 15;OutboundDeliveryLine;oga.csia.csia15;csia15;S;50;0;;;Defines the type for customizable stock identifying attributes;
34;CSIA 16;OutboundDeliveryLine;oga.csia.csia16;csia16;S;50;0;;;Defines the type for customizable stock identifying attributes;
35;CSIA 17;OutboundDeliveryLine;oga.csia.csia17;csia17;S;50;0;;;Defines the type for customizable stock identifying attributes;
36;CSIA 18;OutboundDeliveryLine;oga.csia.csia18;csia18;S;50;0;;;Defines the type for customizable stock identifying attributes;
37;CSIA 19;OutboundDeliveryLine;oga.csia.csia19;csia19;S;50;0;;;Defines the type for customizable stock identifying attributes;
38;CSIA 20;OutboundDeliveryLine;oga.csia.csia20;csia20;S;50;0;;;Defines the type for customizable stock identifying attributes;
39;Ordered LU-ID;OutboundDeliveryLine;oga.orderedLuId;orderedLuId;S;20;0;;;This field can be used to order a specified loading unit instead of just one item with certain restrictions. Note: The ordered item must be marked with a "virtual" item type.;
40;Ordered quantity;OutboundDeliveryLine;orderAmount.baseQty;orderedBaseQty;D;12;3;;;The item quantity specification in its administration unit (base quantity unit). All state calculations, delivery fulfilled checks and so on are based on the base quantity. The dual quantity has no effect for those calculations. ;
41;Released quantity;OutboundDeliveryLine;releasedAmount.baseQty;releasedBaseQty;D;12;3;;;The item quantity specification in its administration unit (base quantity unit). All state calculations, delivery fulfilled checks and so on are based on the base quantity. The dual quantity has no effect for those calculations. ;
42;Delivered quantity;OutboundDeliveryLine;deliveredAmount.baseQty;deliveredBaseQty;D;12;3;;;The item quantity specification in its administration unit (base quantity unit). All state calculations, delivery fulfilled checks and so on are based on the base quantity. The dual quantity has no effect for those calculations. ;
43;Delivered dual quantity;OutboundDeliveryLine;deliveredAmount.dualQty;deliveredDualQty;D;12;3;?;;The quantity measure for dual items. This quantity is needed in addition to the base quantity in order to uniquely identify the item. ;
44;Replacement for line;OutboundDeliveryLine;replacementFor;replacementFor;N;10;0;;;Local End (replacement): Reference to original line.Other End (replacementFor): Reference to original line.;
45;Outbound delivery line type;OutboundDeliveryLine;lineType;lineType;S;20;0;;;Other End (lineType): The outbound delivery line type is used to group delivery lines and is primarily used to determine stock rating.;
46;Upper tolerance [%];OutboundDeliveryLine;deliveryTolerance.upper;deliveryToleranceUpper;D;5;2;;;Upper tolerance in percentage.;
47;Lower tolerance [%];OutboundDeliveryLine;deliveryTolerance.lower;deliveryToleranceLower;D;5;2;;;Lower tolerance in percentage.;
48;UN number;OutboundDeliveryLine;oga.pkv.Item.danGoods.unNumber;unNumber;S;4;0;;;UN-number;
49;Classification code;OutboundDeliveryLine;oga.pkv.Item.danGoods.classifCode;classifCode;S;20;0;;;Classification code;
50;Special provisions;OutboundDeliveryLine;oga.pkv.Item.danGoods.specialProvs;specialProvs;S;40;0;;;Special provisions;
51;Packing group;OutboundDeliveryLine;oga.pkv.Item.danGoods.packingGroup;packingGroup;S;115;0;;;Packing group;
52;Transport category;OutboundDeliveryLine;oga.pkv.Item.danGoods.transportCateg;transportCateg;S;1;0;;;Transport category;
53;Delivered Total dangerous goods points;OutboundDeliveryLine;delKeyData.totDanGoodsPoints;danGoodsPoints;N;15;0;;;Defines the total number of dangerous goods points of the delivery line.;
