# OBDLUACK00008;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Client;OutboundDelivery;Client.clientId;clientId;S;10;0;X;X;Is the unique identification of a client.;
2;Outbound delivery number;OutboundDelivery;obdNo;obdNo;S;20;0;X;;Each outbound delivery has an unique identifier, the outbound delivery number. Outbound deliveries of different clients and system partners can however have the same delivery number.;
3;System partner;OutboundDelivery;sysPartner.id;systemPartner;S;10;0;X;X;Unique identification of a system partner (see SystemPartner).;
4;LU-ID;LoadUnit;luId;luId;S;20;0;X;;Is part of the unique identification of a stock object bundle.;
5;Master LU-ID;LoadUnit;master.luId;masterLuId;S;20;0;;X;Is part of the unique identification of a stock object bundle.;
6;Loading aid;LoadUnit;LoadAid.loadAidId;loadAidId;S;10;0;X;X;Unique identification of a loading aid (see LoadAid).;
7;Loading unit cubature;LoadUnit;LoadUnitCubature.cubatureId;cubatureId;S;10;0;X;X;Unique identifier of the loading unit cubature.;
8;Dangerous goods points;LoadUnit;keyData.danGoodsPoints;danGoodsPoints;N;15;0;;;Total of all dangerous goods points.;
9;Gross weight;LoadUnit;keyData.grossWeight.value;grossWeight;D;12;3;;;Specifies the value (or amount) in weight unit which was entered by a user.;
10;Gross weight unit;LoadUnit;keyData.grossWeight.unit.id;grossWeightUnit;S;5;0;;X;Uniquely identifies the weight unit.;
11;Origin of gross weight;LoadUnit;keyData.weightKind;weightKind;E;10;0;;;The kind of the gross weight.;
12;X;LoadUnit;grossDimension.x.value;dimensionX;D;12;3;;;Specifies the value (or amount) in length unit which was entered by a user.;
13;X unit;LoadUnit;grossDimension.x.unit.id;dimensionXUnit;S;5;0;;X;Uniquely identifies the length unit.;
14;Y;LoadUnit;grossDimension.y.value;dimensionY;D;12;3;;;Specifies the value (or amount) in length unit which was entered by a user.;
15;Y unit;LoadUnit;grossDimension.y.unit.id;dimensionYUnit;S;5;0;;X;Uniquely identifies the length unit.;
16;Z;LoadUnit;grossDimension.z.value;dimensionZ;D;12;3;;;Specifies the value (or amount) in length unit which was entered by a user.;
17;Z unit;LoadUnit;grossDimension.z.unit.id;dimensionZUnit;S;5;0;;X;Uniquely identifies the length unit.;
