# SHIPMENTLUACK00003;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;LU-ID;LoadUnit;luId;luId;S;20;0;X;;Is part of the unique identification of a stock object bundle.;
2;Client;Client;clientId;clientId;S;10;0;X;;Is the unique identification of a client.;
3;Outbound delivery number;OutboundDelivery;obdNo;obdNo;S;20;0;X;;Each outbound delivery has an unique identifier, the outbound delivery number. Outbound deliveries of different clients and system partners can however have the same delivery number.;
4;System partner;SystemPartner;id;SystemPartner_id;S;10;0;X;;Unique identification of a system partner (see SystemPartner).;
5;Warehouse location;WhLoc;whLocId;WhLoc_whLocId;S;20;0;X;;The identifier of the warehouse location.;
6;Master LU-ID;LoadUnit;master.luId;LoadUnit_master_luId;S;20;0;;X;Is part of the unique identification of a stock object bundle.;
7;Loading aid;LoadAid;loadAidId;LoadAid_loadAidId;S;10;0;X;;Unique identification of a loading aid (see LoadAid).;
8;Loading unit cubature;LoadUnitCubature;cubatureId;LoadUnitCubature_cubatureId;S;10;0;X;;Unique identifier of the loading unit cubature.;
9;Dangerous goods points;LoadUnit;keyData.danGoodsPoints;danGoodsPoints;N;15;0;;;Total of all dangerous goods points.;
10;Gross weight;LoadUnit;keyData.grossWeight.value;grossWeight;D;12;3;;;Specifies the value (or amount) in weight unit which was entered by a user.;
11;Gross weight unit;LoadUnit;keyData.grossWeight.unit.id;grossWeightUnit;S;5;0;;X;Uniquely identifies the weight unit.;
12;Origin of gross weight;LoadUnit;keyData.weightKind;weightKind;E;10;0;;;The kind of the gross weight.;
13;X;LoadUnit;grossDimension.x.value;dimensionX;D;12;3;;;Specifies the value (or amount) in length unit which was entered by a user.;
14;X unit;LoadUnit;grossDimension.x.unit.id;dimensionXUnit;S;5;0;;X;Uniquely identifies the length unit.;
15;Y;LoadUnit;grossDimension.y.value;dimensionY;D;12;3;;;Specifies the value (or amount) in length unit which was entered by a user.;
16;Y unit;LoadUnit;grossDimension.y.unit.id;dimensionYUnit;S;5;0;;X;Uniquely identifies the length unit.;
17;Z;LoadUnit;grossDimension.z.value;dimensionZ;D;12;3;;;Specifies the value (or amount) in length unit which was entered by a user.;
18;Z unit;LoadUnit;grossDimension.z.unit.id;dimensionZUnit;S;5;0;;X;Uniquely identifies the length unit.;
19;Outbound delivery partner role;ObdPartnerRole;roleKind;ObdPartnerRole_roleKind;E;17;0;X;;Defines the different roles that partners for an outbound delivery can have.;
20;Partner;Partner;partnerId;Partner_partnerId;S;15;0;X;;Unique identification of a partner object.;
21;Title;ObdPartnerRole;addr.title;title;S;35;0;;;Special designation of a company or the degree of a person.;
22;Name;ObdPartnerRole;addr.name;name;S;35;0;;;Name of a company or a person.;
23;Name 2;ObdPartnerRole;addr.name2;name2;S;35;0;;;Name of a company or a person.;
24;Name 3;ObdPartnerRole;addr.name3;name3;S;35;0;;;Name of a company or a person.;
25;Name 4;ObdPartnerRole;addr.name4;name4;S;35;0;;;Name of a company or a person.;
26;Street;ObdPartnerRole;addr.street;street;S;35;0;;;Street and street (house) number or post office box.;
27;City;ObdPartnerRole;addr.city;city;S;35;0;;;It is part of the address.;
28;District;ObdPartnerRole;addr.district;district;S;35;0;;;The district of an address;
29;Region;ObdPartnerRole;addr.region;region;S;35;0;;;Possible content: province, federal state, canton, area, county;
30;Country;ObdPartnerRole;addr.Country.countryId;country;S;2;0;;X;The unique identifier for a country. ISO 3166-1 Alpha 2 Code.;
31;ZIP code;ObdPartnerRole;addr.zipCode;zipCode;S;10;0;;;ZIP code of the city origin.;
32;Phone;ObdPartnerRole;addr.phone;phone;S;40;0;;;Phone number.;
33;Fax;ObdPartnerRole;addr.fax;fax;S;40;0;;;Fax number.;
34;Email;ObdPartnerRole;addr.email;email;S;255;0;;;An email address.;
35;Website;ObdPartnerRole;addr.website;webSite;S;40;0;;;The address of the website.;
36;GLN;ObdPartnerRole;addr.gln;gln;S;13;0;;;The global location number (GLN), as well as the international location number, is used to identify the denotation of companies on an international level, including the address. It is a thirteen digit number comprising a three digit prefix EAN-country reference. The number is determined by the GS1 organisations.;
37;Language;ObdPartnerRole;addr.Language.langId;language;S;6;0;X;X;Is the unique identifaction of a language, in compliance with ISO 639-2/B Alpha 3 Code. In case ISO specifies more than one code, the B-Code variant is used (ger instead of deu). If a particular language has regional differences, the 2-character country code according to ISO-3166 is used (eng-US, eng-UK, ger-CH, ger-AT, ger-DE).Info: ISO 639 is the set of international standards that lists short codes for language names.See also: LANGISOALPHA2ID.;
38;Time zone;ObdPartnerRole;addr.timezone;timeZone;S;100;0;;;Timezone value, for e.g. "Europe/Vienna".;
