# SHIPMENTLUDETAILACK00002;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;LU-ID;LoadUnit;luId;luId;S;20;0;X;;Is part of the unique identification of a stock object bundle.;
2;Content number;StockObject;no;stockObjectNo;N;18;0;X;;Unique identification of a stock object.;
3;Client;Client;clientId;clientId;S;10;0;X;;Is the unique identification of a client.;
4;Outbound delivery number;OutboundDelivery;obdNo;obdNo;S;20;0;X;;Each outbound delivery has an unique identifier, the outbound delivery number. Outbound deliveries of different clients and system partners can however have the same delivery number.;
5;System partner;SystemPartner;id;SystemPartner_id;S;10;0;X;;Unique identification of a system partner (see SystemPartner).;
6;Item number;StockObject;sia.pkv.Item.itemNo;itemNo;S;20;0;X;X; Is a part of the unique identification of an item. ;
7;Variant;StockObject;sia.pkv.Item.variant;variant;S;10;0;X;X; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
8;BQU / WQU;StockObject;sia.pkv.numBquWqu;numBquWqu;D;12;3;X;;Defines the number of base quantity units for the warehouse quantity as a factor. This value is calculated automatically and cannot be changed by the user.This factor is stored redundantly to gain performance during the process and in dialogs.To avoid rounding errors, the number of dual quantity units is stored as a fraction.;
9;System partner stock group;SysPartnerStockGroup;id;SysPartnerStockGroup_id;S;15;0;X;;Unique identification of a system partner stock group (see SysPartnerStockGroup).;
10;Goods owner;StockObject;sia.gow.partner.partnerId;StockObject_sia_gow_partner_partnerId;S;15;0;X;X;Unique identification of a partner object.;
11;Batch;StockObject;sia.batch;StockObject_sia_batch;S;20;0;;; The total amount of goods of an article produced in a certain clearly documented production process.Normally, the batch is identified by the batch number. The total amount of goods of an item produced in a certain clearly documented production process.;
12;BBD;StockObject;sia.bbDate;StockObject_sia_bbDate;DA;8;0;;;The best before date indicates the length of time goods (e.g. food) are at least non-perishable if stored properly.;
13;Production date;StockObject;sia.prodDate;StockObject_sia_prodDate;DA;8;0;;;The production date defines the date on which the product was manufactured.;
14;Reservation number;StockObject;sia.reservationNo;reservationNo;S;20;0;;;Through reservations the stock is divided into free and reserved stock. The reservation number defines the purpose of the stock.Special offers (!= Promotional products)Pre-sales...Reserved stock gets a reservation number during goods in processing. A delivery can only be carried out with reference to an existing reservation number.;
15;Cross Docking No.;StockObject;sia.cdNo;cdNo;S;20;0;;;The cross docking number identifies goods for cross docking.;
16;CSIA 01;StockObject;sia.csia.csia01;csia1;S;50;0;;;Defines the type for customizable stock identifying attributes;
17;CSIA 02;StockObject;sia.csia.csia02;csia2;S;50;0;;;Defines the type for customizable stock identifying attributes;
