# STOCKADJ00008;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Client;DifferenceConfirmation;Client.clientId;clientId;S;10;0;X;X;Is the unique identification of a client.;
2;Item number;StockObject;sia.pkv.Item.itemNo;itemNo;S;20;0;X;X; Is a part of the unique identification of an item. ;
3;Variant;StockObject;sia.pkv.Item.variant;variant;S;10;0;X;X; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
4;BQU / WQU;StockObject;sia.pkv.numBquWqu;numBquWqu;D;12;3;X;;Defines the number of base quantity units for the warehouse quantity as a factor. This value is calculated automatically and cannot be changed by the user.This factor is stored redundantly to gain performance during the process and in dialogs.To avoid rounding errors, the number of dual quantity units is stored as a fraction.;
5;System partner stock group;SysPartnerStockGroup;id;stockGroupId;S;15;0;X;;Unique identification of a system partner stock group (see SysPartnerStockGroup).;
6;Goods owner;DifferenceConfirmation;gowFrom.partner.partnerId;gow;S;15;0;X;X;Unique identification of a partner object.;
7;Batch;DifferenceConfirmation;batch;batch;S;20;0;;;Is only set if the batch has been changed in the stock difference. The unchanged (old) and the changed (new) batch are stored.;
8;BBD;DifferenceConfirmation;bbd;bbDate;DA;8;0;;;Is only set if the BBD has been changed in the stock difference. The unchanged (old) and the changed (new) BBD are stored.;
9;Production date;DifferenceConfirmation;prodDate;prodDate;DA;8;0;;;Is only set if the production date has been changed in the stock difference. The unchanged (old) and the changed (new) production date are stored.;
10;Reservation number;DifferenceConfirmation;resNo;resNo;S;20;0;;;Is only set if the reservation number has been changed in the stock difference. The unchanged (old) and the changed (new) reservation number are stored.;
11;Cross Docking number;DifferenceConfirmation;cdNo;cdNo;S;20;0;;;Is only set if the cross docking number has been changed in the stock difference. The unchanged (old) and the changed (new) cross docking number are stored.;
12;CSIA 01;DifferenceConfirmation;csia.to.csia01;csia1;S;50;0;;;Defines the type for customizable stock identifying attributes;
13;CSIA 02;DifferenceConfirmation;csia.to.csia02;csia2;S;50;0;;;Defines the type for customizable stock identifying attributes;
14;CSIA 03;DifferenceConfirmation;csia.to.csia03;csia3;S;50;0;;;Defines the type for customizable stock identifying attributes;
15;CSIA 04;DifferenceConfirmation;csia.to.csia04;csia4;S;50;0;;;Defines the type for customizable stock identifying attributes;
16;CSIA 05;DifferenceConfirmation;csia.to.csia05;csia5;S;50;0;;;Defines the type for customizable stock identifying attributes;
17;CSIA 06;DifferenceConfirmation;csia.to.csia06;csia6;S;50;0;;;Defines the type for customizable stock identifying attributes;
18;CSIA 07;DifferenceConfirmation;csia.to.csia07;csia7;S;50;0;;;Defines the type for customizable stock identifying attributes;
19;CSIA 08;DifferenceConfirmation;csia.to.csia08;csia8;S;50;0;;;Defines the type for customizable stock identifying attributes;
20;CSIA 09;DifferenceConfirmation;csia.to.csia09;csia9;S;50;0;;;Defines the type for customizable stock identifying attributes;
21;CSIA 10;DifferenceConfirmation;csia.to.csia10;csia10;S;50;0;;;Defines the type for customizable stock identifying attributes;
22;CSIA 11;DifferenceConfirmation;csia.to.csia11;csia11;S;50;0;;;Defines the type for customizable stock identifying attributes;
23;CSIA 12;DifferenceConfirmation;csia.to.csia12;csia12;S;50;0;;;Defines the type for customizable stock identifying attributes;
24;CSIA 13;DifferenceConfirmation;csia.to.csia13;csia13;S;50;0;;;Defines the type for customizable stock identifying attributes;
25;CSIA 14;DifferenceConfirmation;csia.to.csia14;csia14;S;50;0;;;Defines the type for customizable stock identifying attributes;
26;CSIA 15;DifferenceConfirmation;csia.to.csia15;csia15;S;50;0;;;Defines the type for customizable stock identifying attributes;
27;CSIA 16;DifferenceConfirmation;csia.to.csia16;csia16;S;50;0;;;Defines the type for customizable stock identifying attributes;
28;CSIA 17;DifferenceConfirmation;csia.to.csia17;csia17;S;50;0;;;Defines the type for customizable stock identifying attributes;
29;CSIA 18;DifferenceConfirmation;csia.to.csia18;csia18;S;50;0;;;Defines the type for customizable stock identifying attributes;
30;CSIA 19;DifferenceConfirmation;csia.to.csia19;csia19;S;50;0;;;Defines the type for customizable stock identifying attributes;
31;CSIA 20;DifferenceConfirmation;csia.to.csia20;csia20;S;50;0;;;Defines the type for customizable stock identifying attributes;
32;Inbound delivery number;StockObject;sia.ibdLine.InboundDelivery.ibdNo;ibdNo;S;20;0;;X;The inbound delivery number is part of the unique identifier of the inbound delivery.;
33;Inbound delivery System partner;StockObject;sia.ibdLine.InboundDelivery.sysPartner.id;ibdSystemPartner;S;10;0;;X;Unique identification of a system partner (see SystemPartner).;
