# STOCKBEGIN00009;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;ID;StockReportRequest;id;requestId;S;20;0;X;;An identifier is an unique artificial numerical expression.;
2;System partner of item;StockReportRequest;sysPartnerItem.id;systemPartner;S;10;0;;X;Filter criteria of the master system partner of an item. # Unique identification of a system partner (see SystemPartner).;
3;Warehouse location;StockReportRequest;whloc.whLocId;whLoc;S;20;0;;X;The identifier of the warehouse location.;
4;Client;StockReportRequest;client.clientId;clientId;S;10;0;;X;Is the unique identification of a client.;
5;Item number;StockReportRequest;item.itemNo;itemNo;S;20;0;;X; Is a part of the unique identification of an item. ;
6;Variant;StockReportRequest;item.variant;variant;S;10;0;;X; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
7;System partner stock group;StockReportRequest;stockGroup.id;stockGroupId;S;15;0;;X;Unique identification of a system partner stock group (see SysPartnerStockGroup).;
8;Goods owner;StockReportRequest;gow.partner.partnerId;gow;S;15;0;;X;Unique identification of a partner object.;
9;Batch;StockReportRequest;batch;batch;S;20;0;;; The total amount of goods of an article produced in a certain clearly documented production process.Normally, the batch is identified by the batch number. The total amount of goods of an item produced in a certain clearly documented production process.;
10;BBD From;StockReportRequest;bbDate.from;bbDateFrom;DA;8;0;;;A datetime provides the day, month and year of a point in time.;
11;BBD To;StockReportRequest;bbDate.to;bbDateTo;DA;8;0;;;A datetime provides the day, month and year of a point in time.;
12;Production date From;StockReportRequest;prodDate.from;prodDateFrom;DA;8;0;;;A datetime provides the day, month and year of a point in time.;
13;Production date To;StockReportRequest;prodDate.to;prodDateTo;DA;8;0;;;A datetime provides the day, month and year of a point in time.;
14;Reservation number;StockReportRequest;reservationNo;reservationNo;S;20;0;;;Through reservations the stock is divided into free and reserved stock. The reservation number defines the purpose of the stock.Special offers (!= Promotional products)Pre-sales...Reserved stock gets a reservation number during goods in processing. A delivery can only be carried out with reference to an existing reservation number.;
15;Cross Docking No.;StockReportRequest;cdNo;cdNo;S;20;0;;;The cross docking number identifies goods for cross docking.;
16;CSIA 01;StockReportRequest;csia.csia01;StockReportRequest_csia_csia01;S;50;0;;;Defines the type for customizable stock identifying attributes;
17;CSIA 02;StockReportRequest;csia.csia02;StockReportRequest_csia_csia02;S;50;0;;;Defines the type for customizable stock identifying attributes;
18;CSIA 03;StockReportRequest;csia.csia03;StockReportRequest_csia_csia03;S;50;0;;;Defines the type for customizable stock identifying attributes;
19;CSIA 04;StockReportRequest;csia.csia04;StockReportRequest_csia_csia04;S;50;0;;;Defines the type for customizable stock identifying attributes;
20;CSIA 05;StockReportRequest;csia.csia05;StockReportRequest_csia_csia05;S;50;0;;;Defines the type for customizable stock identifying attributes;
21;CSIA 06;StockReportRequest;csia.csia06;StockReportRequest_csia_csia06;S;50;0;;;Defines the type for customizable stock identifying attributes;
22;CSIA 07;StockReportRequest;csia.csia07;StockReportRequest_csia_csia07;S;50;0;;;Defines the type for customizable stock identifying attributes;
23;CSIA 08;StockReportRequest;csia.csia08;StockReportRequest_csia_csia08;S;50;0;;;Defines the type for customizable stock identifying attributes;
24;CSIA 09;StockReportRequest;csia.csia09;StockReportRequest_csia_csia09;S;50;0;;;Defines the type for customizable stock identifying attributes;
25;CSIA 10;StockReportRequest;csia.csia10;StockReportRequest_csia_csia10;S;50;0;;;Defines the type for customizable stock identifying attributes;
26;CSIA 11;StockReportRequest;csia.csia11;StockReportRequest_csia_csia11;S;50;0;;;Defines the type for customizable stock identifying attributes;
27;CSIA 12;StockReportRequest;csia.csia12;StockReportRequest_csia_csia12;S;50;0;;;Defines the type for customizable stock identifying attributes;
28;CSIA 13;StockReportRequest;csia.csia13;StockReportRequest_csia_csia13;S;50;0;;;Defines the type for customizable stock identifying attributes;
29;CSIA 14;StockReportRequest;csia.csia14;StockReportRequest_csia_csia14;S;50;0;;;Defines the type for customizable stock identifying attributes;
30;CSIA 15;StockReportRequest;csia.csia15;StockReportRequest_csia_csia15;S;50;0;;;Defines the type for customizable stock identifying attributes;
31;CSIA 16;StockReportRequest;csia.csia16;StockReportRequest_csia_csia16;S;50;0;;;Defines the type for customizable stock identifying attributes;
32;CSIA 17;StockReportRequest;csia.csia17;StockReportRequest_csia_csia17;S;50;0;;;Defines the type for customizable stock identifying attributes;
33;CSIA 18;StockReportRequest;csia.csia18;StockReportRequest_csia_csia18;S;50;0;;;Defines the type for customizable stock identifying attributes;
34;CSIA 19;StockReportRequest;csia.csia19;StockReportRequest_csia_csia19;S;50;0;;;Defines the type for customizable stock identifying attributes;
35;CSIA 20;StockReportRequest;csia.csia20;StockReportRequest_csia_csia20;S;50;0;;;Defines the type for customizable stock identifying attributes;
36;Include zero quantities;StockReportRequest;includeZeroAmount;includeZeroAmount;B;1;0;X;;1...stock report based on master data0...based on stock;
37;Group by Warehouse location grouping;StockReportRequest;stockGrouping.whLoc;grpByWhLoc;B;1;0;;;Represents a boolean value, which is false by default.;
38;Group by Storage location grouping;StockReportRequest;stockGrouping.stoLoc;grpByStoLoc;B;1;0;;;Represents a boolean value, which is false by default.;
39;Group by Client grouping;StockReportRequest;stockGrouping.client;grpByClientId;B;1;0;;;Represents a boolean value, which is false by default.;
40;Group by LU-ID grouping;StockReportRequest;stockGrouping.luId;grpByLU;B;1;0;;;Represents a boolean value, which is false by default.;
41;Group by Goods owner grouping;StockReportRequest;stockGrouping.gow;grpByGow;B;1;0;;;Represents a boolean value, which is false by default.;
42;Group by Batch grouping;StockReportRequest;stockGrouping.batch;grpByBatch;B;1;0;;;Represents a boolean value, which is false by default.;
43;Group by BBD grouping;StockReportRequest;stockGrouping.bbDate;grpByBBD;B;1;0;;;Represents a boolean value, which is false by default.;
44;Group by Production date grouping;StockReportRequest;stockGrouping.prodDate;grpByPD;B;1;0;;;Represents a boolean value, which is false by default.;
45;Group by Reservation number grouping;StockReportRequest;stockGrouping.reservationNo;grpByRes;B;1;0;;;Represents a boolean value, which is false by default.;
46;Group by Cross Docking number grouping;StockReportRequest;stockGrouping.cdNo;grpByCdNo;B;1;0;;;Represents a boolean value, which is false by default.;
47;Group by CSIA 01 grouping;StockReportRequest;stockGrouping.csia01;StockReportRequest_stockGrouping_csia01;B;1;0;;;Represents a boolean value, which is false by default.;
48;Group by CSIA 02 grouping;StockReportRequest;stockGrouping.csia02;StockReportRequest_stockGrouping_csia02;B;1;0;;;Represents a boolean value, which is false by default.;
49;Group by CSIA 03 grouping;StockReportRequest;stockGrouping.csia03;StockReportRequest_stockGrouping_csia03;B;1;0;;;Represents a boolean value, which is false by default.;
50;Group by CSIA 04 grouping;StockReportRequest;stockGrouping.csia04;StockReportRequest_stockGrouping_csia04;B;1;0;;;Represents a boolean value, which is false by default.;
51;Group by CSIA 05 grouping;StockReportRequest;stockGrouping.csia05;StockReportRequest_stockGrouping_csia05;B;1;0;;;Represents a boolean value, which is false by default.;
52;Group by CSIA 06 grouping;StockReportRequest;stockGrouping.csia06;StockReportRequest_stockGrouping_csia06;B;1;0;;;Represents a boolean value, which is false by default.;
53;Group by CSIA 07 grouping;StockReportRequest;stockGrouping.csia07;StockReportRequest_stockGrouping_csia07;B;1;0;;;Represents a boolean value, which is false by default.;
54;Group by CSIA 08 grouping;StockReportRequest;stockGrouping.csia08;StockReportRequest_stockGrouping_csia08;B;1;0;;;Represents a boolean value, which is false by default.;
55;Group by CSIA 09 grouping;StockReportRequest;stockGrouping.csia09;StockReportRequest_stockGrouping_csia09;B;1;0;;;Represents a boolean value, which is false by default.;
56;Group by CSIA 10 grouping;StockReportRequest;stockGrouping.csia10;StockReportRequest_stockGrouping_csia10;B;1;0;;;Represents a boolean value, which is false by default.;
57;Group by CSIA 11 grouping;StockReportRequest;stockGrouping.csia11;StockReportRequest_stockGrouping_csia11;B;1;0;;;Represents a boolean value, which is false by default.;
