# WCS_INVENTORYREQ00007;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Inventory order number;InventoryOrder;invNo;invNo;S;20;0;X;;Is part of the unique identification of an InventoryOrder.;
2;Inventory order line number;InventoryOrderLine;line;invLine;N;5;0;X;;Is part of the unique identification of the InventoryOrderLine.;
3;System partner;InventoryOrder;SystemPartner.id;systemPartner;S;10;0;X;X;Unique identification of a system partner (see SystemPartner).;
4;Client;Client;clientId;clientId;S;10;0;X;;Is the unique identification of a client.;
5;Item number;Item;itemNo;itemNo;S;20;0;X;; Is a part of the unique identification of an item. ;
6;Variant;Item;variant;variant;S;10;0;X;; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
7;Packaging version;PackagingVersion;id;pkv;N;5;0;;;Since an item can have several packaging versions, the id is used to distinguish them.;
8;Assortment;Item;assortment.id;assortment;S;10;0;;X;Is the unique identification of an assortment.;
9;Goods category;Item;goodsCategory.id;goodsCategory;S;10;0;;X; Is part of the unique identification of a goods category. ;
10;Item kind;InventoryOrderLine;lineRestr.res.item.itemKind;itemKind;E;11;0;;;Only items matching this item kind are relevant for inventory. If the item kind is set to UNDEFINED it is not considered.;
11;Goods owner;StockObject;sia.gow.partner.partnerId;gow;S;15;0;;X;Unique identification of a partner object.;
12;Stock rating;StockObject;sia.stockRating.id;stockRating;S;15;0;;X;Unique identification of a stock rating object.;
13;BBD From;InventoryOrderLineRestriction;res.item.bbDate.from;bbDateFrom;DA;8;0;;;A datetime provides the day, month and year of a point in time.;
14;BBD To;InventoryOrderLineRestriction;res.item.bbDate.to;bbDateTo;DA;8;0;;;A datetime provides the day, month and year of a point in time.;
15;Batch;StockObject;sia.batch;batch;S;20;0;;; The total amount of goods of an article produced in a certain clearly documented production process.Normally, the batch is identified by the batch number. The total amount of goods of an item produced in a certain clearly documented production process.;
16;Production date From;InventoryOrderLineRestriction;res.item.prodDate.from;prodDateFrom;DA;8;0;;;A datetime provides the day, month and year of a point in time.;
17;Production date To;InventoryOrderLineRestriction;res.item.prodDate.to;prodDateTo;DA;8;0;;;A datetime provides the day, month and year of a point in time.;
18;Reservation number;StockObject;sia.reservationNo;reservationNo;S;20;0;;;Through reservations the stock is divided into free and reserved stock. The reservation number defines the purpose of the stock.Special offers (!= Promotional products)Pre-sales...Reserved stock gets a reservation number during goods in processing. A delivery can only be carried out with reference to an existing reservation number.;
19;Cross Docking No.;StockObject;sia.cdNo;cdNo;S;20;0;;;The cross docking number identifies goods for cross docking.;
20;CSIA 01;StockObject;sia.csia.csia01;csia1;S;50;0;;;Defines the type for customizable stock identifying attributes;
21;CSIA 02;StockObject;sia.csia.csia02;csia2;S;50;0;;;Defines the type for customizable stock identifying attributes;
22;CSIA 03;StockObject;sia.csia.csia03;csia3;S;50;0;;;Defines the type for customizable stock identifying attributes;
23;CSIA 04;StockObject;sia.csia.csia04;csia4;S;50;0;;;Defines the type for customizable stock identifying attributes;
24;CSIA 05;StockObject;sia.csia.csia05;csia5;S;50;0;;;Defines the type for customizable stock identifying attributes;
25;CSIA 06;StockObject;sia.csia.csia06;csia6;S;50;0;;;Defines the type for customizable stock identifying attributes;
26;CSIA 07;StockObject;sia.csia.csia07;csia7;S;50;0;;;Defines the type for customizable stock identifying attributes;
27;CSIA 08;StockObject;sia.csia.csia08;csia8;S;50;0;;;Defines the type for customizable stock identifying attributes;
28;CSIA 09;StockObject;sia.csia.csia09;csia9;S;50;0;;;Defines the type for customizable stock identifying attributes;
29;CSIA 10;StockObject;sia.csia.csia10;csia10;S;50;0;;;Defines the type for customizable stock identifying attributes;
30;CSIA 11;StockObject;sia.csia.csia11;csia11;S;50;0;;;Defines the type for customizable stock identifying attributes;
31;CSIA 12;StockObject;sia.csia.csia12;csia12;S;50;0;;;Defines the type for customizable stock identifying attributes;
32;CSIA 13;StockObject;sia.csia.csia13;csia13;S;50;0;;;Defines the type for customizable stock identifying attributes;
33;CSIA 14;StockObject;sia.csia.csia14;csia14;S;50;0;;;Defines the type for customizable stock identifying attributes;
34;CSIA 15;StockObject;sia.csia.csia15;csia15;S;50;0;;;Defines the type for customizable stock identifying attributes;
35;CSIA 16;StockObject;sia.csia.csia16;csia16;S;50;0;;;Defines the type for customizable stock identifying attributes;
36;CSIA 17;StockObject;sia.csia.csia17;csia17;S;50;0;;;Defines the type for customizable stock identifying attributes;
37;CSIA 18;StockObject;sia.csia.csia18;csia18;S;50;0;;;Defines the type for customizable stock identifying attributes;
38;CSIA 19;StockObject;sia.csia.csia19;csia19;S;50;0;;;Defines the type for customizable stock identifying attributes;
39;CSIA 20;StockObject;sia.csia.csia20;csia20;S;50;0;;;Defines the type for customizable stock identifying attributes;
40;Cancel flag;;;cancelFlag;B;1;0;;;;
41;Info text;;;invText;S;256;0;;;;
