# WCS_ITEM00009;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Client;Client;clientId;clientId;S;10;0;X;;Is the unique identification of a client.;
2;Item number;Item;itemNo;itemNo;S;20;0;X;; Is a part of the unique identification of an item. ;
3;Variant;Item;variant;variant;S;10;0;X;; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
4;Base quantity unit;Item;baseQtyUnit.id;baseQtyUnit;S;5;0;X;X; Is part of the unique identification of a quantity unit. ;
5;Warehouse quantity unit;PackagingVersion;whQtyUnit.id;whQtyUnit;S;5;0;;X; Is part of the unique identification of a quantity unit. ;
6;Dual item;Item;dualItem;dualItem;B;1;0;X;;This attribute controls all other relevant dual item parameters and behavior. ;
7;Dual quantity unit;Item;dualQtyUnit.id;dualQtyUnit;S;5;0;?;X; Is part of the unique identification of a quantity unit. ;
8;Dual warehouse quantity unit;PackagingVersion;whDualQtyUnit.id;whDualQtyUnit;S;5;0;?;X; Is part of the unique identification of a quantity unit. ;
9;Lower entry tolerance Absolute value;Item;lowerEntryTol.absolute;lowerEntryTolAbsolute;D;9;3;;;Tolerance in absolute units.;
10;Lower entry tolerance Percentage;Item;lowerEntryTol.percentage;lowerEntryTolPercentage;D;5;2;;;Tolerance in percentage.;
11;Upper entry tolerance Absolute value;Item;upperEntryTol.absolute;upperEntryTolAbsolute;D;9;3;;;Tolerance in absolute units.;
12;Upper entry tolerance Percentage;Item;upperEntryTol.percentage;upperEntryTolPercentage;D;5;2;;;Tolerance in percentage.;
13;Automatic conversion mode;Item;qtyFlags.autoConvMode;autoConvMode;E;8;0;;;Sets whether the dual quantity will be automatically calculated when the base quantity is changed. This parameter is only used for in depended processes like stock corrections, inventory, partial amount transport and so on.- DisabledNo dual quantity is calculated. The user has to enter the dual quantity.- EnabledThe dual quantity is calculated and cannot be overwritten by the user.- EditableThe dual quantity is calculated and can be overwritten by the user.;
14;Editing remaining quantity allowed;Item;qtyFlags.editBaseQty;editBaseQty;B;1;0;;;Allows user to edit the remaining quantity in base quantity units. If the base quantity unit and the warehouse quantity unit are the same, this setting is ignored. False Editing the remaining base quantity is not allowed. True Editing remaining base quantity is allowed.;
15;Editing remaining dual quantity allowed;Item;qtyFlags.editDualQty;editDualQty;B;1;0;;;Allows user to edit the remaining quantity in dual quantity units. If the dual quantity unit and the dual warehouse quantity unit are the same, this setting is ignored. This parameter can only be configured for dual items. False Editing the remaining dual quantity is not allowed. True Editing the remaining dual quantity is allowed.;
16;Goods category;Item;goodsCategory.id;goodsCategory;S;10;0;;X; Is part of the unique identification of a goods category. ;
17;Assortment;Item;assortment.id;assortment;S;10;0;;X;Is the unique identification of an assortment.;
18;Item type;Item;itemType.id;itemType;S;10;0;X;X;Unique identifier of an ItemType.;
19;Goods value;Item;goodsValue.value;goodsValue;D;12;3;;;Specifies the value (or amount) in currency unit which was entered by a user.;
20;Goods value unit;Item;goodsValue.unit.id;goodsValueUnit;S;5;0;;X;Uniquely identifies the currency unit.;
21;BBD stock mode;Item;bbDateStockMode;bbDateStockMode;E;14;0;;;Strategy for registration of the best before date in the GUI. Only relevant for dialogs of the domains inventory and stock adjustment.;
22;Batch stock mode;Item;batchStockMode;batchStockMode;E;14;0;;;Strategy for registration of the batch in the GUI. Only relevant for dialogs of the domains inventory and stock adjustment.;
