# WCS_PRINTMETADATA00007;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Inbound order;;;orderId;N;10;0;X;;;
2;Outbound delivery partner role;ObdPartnerRole;roleKind;partnerRoleKind;E;17;0;X;;Defines the different roles that partners for an outbound delivery can have.;
3;Partner;PartnerAddress;Partner.partnerId;partnerId;S;15;0;X;X;Unique identification of a partner object.;
4;Title;PartnerAddress;addr.title;addrTitle;S;35;0;;;Special designation of a company or the degree of a person.;
5;Name;PartnerAddress;addr.name;addrName;S;35;0;X;;Name of a company or a person.;
6;Name 2;PartnerAddress;addr.name2;addrName2;S;35;0;;;Name of a company or a person.;
7;Name 3;PartnerAddress;addr.name3;addrName3;S;35;0;;;Name of a company or a person.;
8;Name 4;PartnerAddress;addr.name4;addrName4;S;35;0;;;Name of a company or a person.;
9;Street;PartnerAddress;addr.street;addrStreet;S;35;0;;;Street and street (house) number or post office box.;
10;City;PartnerAddress;addr.city;addrCity;S;35;0;;;It is part of the address.;
11;District;PartnerAddress;addr.district;addrDistrict;S;35;0;;;The district of an address;
12;Region;PartnerAddress;addr.region;addrRegion;S;35;0;;;Possible content: province, federal state, canton, area, county;
13;Country;PartnerAddress;addr.Country.countryId;addrCountry;S;2;0;;X;The unique identifier for a country. ISO 3166-1 Alpha 2 Code.;
14;ZIP code;PartnerAddress;addr.zipCode;addrZipCode;S;10;0;;;ZIP code of the city origin.;
15;Phone;PartnerAddress;addr.phone;addrPhone;S;40;0;;;Phone number.;
16;Fax;PartnerAddress;addr.fax;addrFax;S;40;0;;;Fax number.;
17;Email;PartnerAddress;addr.email;addrEmail;S;255;0;;;An email address.;
18;GLN;PartnerAddress;addr.gln;addrGln;S;13;0;;;The global location number (GLN), as well as the international location number, is used to identify the denotation of companies on an international level, including the address. It is a thirteen digit number comprising a three digit prefix EAN-country reference. The number is determined by the GS1 organisations.;
19;VAT ID;Partner;vatId;vatId;S;15;0;;;Value-added tax identification number.;
20;Outbound delivery number;OutboundDelivery;obdNo;obdNo;S;20;0;;;Each outbound delivery has an unique identifier, the outbound delivery number. Outbound deliveries of different clients and system partners can however have the same delivery number.;
21;Outbound delivery type;OutboundDelivery;type.obdTypeId;obdType;S;20;0;;X;The identifier for the outbound delivery type. Each client may maintain multiple, unique delivery types.;
22;Delivery time;OutboundDelivery;deliveryTime;deliveryTime;DA;14;0;;;The time the delivery reaches the customer.;
23;Staging time;OutboundDelivery;stagingTime;stagingTime;DA;14;0;;;The date/time when all loading units of this delivery have to be in the staging area.;
24;Loading time;OutboundDelivery;loadingTime;loadingTime;DA;14;0;;;The date/time when all loading units of this delivery have to be loaded.;
25;Departure time;OutboundDelivery;departureTime;departureTime;DA;14;0;;;The time the delivery leaves the warehouse.;
26;Shipping method;OutboundDelivery;shippingMethod.methodId;shippingMethod;S;10;0;;X;Unique identification of a shipping method.;
27;Shipping category;OutboundDelivery;shippingMethod.shippingCategory.categoryId;shippingCategory;S;10;0;;X;Unique identification of a shipping category (see ShippingCategory).;
28;External reference;;;externalRef;S;20;0;;;;
