# WCS_STOCKATTRCHGREQ00006;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Client;Client;clientId;clientId;S;10;0;X;;Is the unique identification of a client.;
2;Item number;Item;itemNo;itemNo;S;20;0;X;; Is a part of the unique identification of an item. ;
3;Variant;Item;variant;variant;S;10;0;X;; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
4;Packaging version;PackagingVersion;id;pkv;N;5;0;X;;Since an item can have several packaging versions, the id is used to distinguish them.;
5;Goods owner Old value;StockObject;sia.gow.partner.partnerId;gowFrom;S;15;0;X;X;Unique identification of a partner object.;
6;Stock rating Old value;StockObject;sia.stockRating.id;stockRatingFrom;S;15;0;X;X;Unique identification of a stock rating object.;
7;BBD Old value;StockObject;sia.bbDate;bbDateFrom;DA;8;0;;;The best before date indicates the length of time goods (e.g. food) are at least non-perishable if stored properly.;
8;Batch Old value;StockObject;sia.batch;batchFrom;S;20;0;;; The total amount of goods of an article produced in a certain clearly documented production process.Normally, the batch is identified by the batch number. The total amount of goods of an item produced in a certain clearly documented production process.;
9;Production date Old value;StockObject;sia.prodDate;prodDateFrom;DA;8;0;;;The production date defines the date on which the product was manufactured.;
10;Reservation number Old value;StockObject;sia.reservationNo;reservationNoFrom;S;20;0;;;Through reservations the stock is divided into free and reserved stock. The reservation number defines the purpose of the stock.Special offers (!= Promotional products)Pre-sales...Reserved stock gets a reservation number during goods in processing. A delivery can only be carried out with reference to an existing reservation number.;
11;Cross Docking No. Old value;StockObject;sia.cdNo;cdNoFrom;S;20;0;;;The cross docking number identifies goods for cross docking.;
12;CSIA 01;StockObject;sia.csia.csia01;csia1From;S;50;0;;;Defines the type for customizable stock identifying attributes;
13;CSIA 02;StockObject;sia.csia.csia02;csia2From;S;50;0;;;Defines the type for customizable stock identifying attributes;
14;CSIA 03;StockObject;sia.csia.csia03;csia3From;S;50;0;;;Defines the type for customizable stock identifying attributes;
15;CSIA 04;StockObject;sia.csia.csia04;csia4From;S;50;0;;;Defines the type for customizable stock identifying attributes;
16;CSIA 05;StockObject;sia.csia.csia05;csia5From;S;50;0;;;Defines the type for customizable stock identifying attributes;
17;CSIA 06;StockObject;sia.csia.csia06;csia6From;S;50;0;;;Defines the type for customizable stock identifying attributes;
18;CSIA 07;StockObject;sia.csia.csia07;csia7From;S;50;0;;;Defines the type for customizable stock identifying attributes;
19;CSIA 08;StockObject;sia.csia.csia08;csia8From;S;50;0;;;Defines the type for customizable stock identifying attributes;
20;CSIA 09;StockObject;sia.csia.csia09;csia9From;S;50;0;;;Defines the type for customizable stock identifying attributes;
21;CSIA 10;StockObject;sia.csia.csia10;csia10From;S;50;0;;;Defines the type for customizable stock identifying attributes;
22;CSIA 11;StockObject;sia.csia.csia11;csia11From;S;50;0;;;Defines the type for customizable stock identifying attributes;
23;CSIA 12;StockObject;sia.csia.csia12;csia12From;S;50;0;;;Defines the type for customizable stock identifying attributes;
24;CSIA 13;StockObject;sia.csia.csia13;csia13From;S;50;0;;;Defines the type for customizable stock identifying attributes;
25;CSIA 14;StockObject;sia.csia.csia14;csia14From;S;50;0;;;Defines the type for customizable stock identifying attributes;
26;CSIA 15;StockObject;sia.csia.csia15;csia15From;S;50;0;;;Defines the type for customizable stock identifying attributes;
27;CSIA 16;StockObject;sia.csia.csia16;csia16From;S;50;0;;;Defines the type for customizable stock identifying attributes;
