# WCS_TRANSPORTREQ00007;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Transport order;TransportOrder;orderId;orderId;N;10;0;X;;Unique ID for a transport order.;
2;Priority;TransportOrder;priority;priority;N;1;0;;;Defines the order of transport order allocation. Transport orders with a higher priority value will be allocated before transport orders with a lower priority value.;
3;Storage location;LoadUnit;stoLoc.stoLocId;stoLocId;S;20;0;X;X;The identifier of the storage location per warehouse location.;
4;LU-ID;LoadUnit;luId;luId;S;20;0;X;;Is part of the unique identification of a stock object bundle.;
5;LU origin;LoadUnit;luOrigin;luOrigin;S;20;0;X;;Is part of the unique identification of a stock object bundle.;
6;Loading aid;LoadUnit;LoadAid.loadAidId;loadAidId;S;10;0;X;X;Unique identification of a loading aid (see LoadAid).;
7;Loading unit cubature;LoadUnit;LoadUnitCubature.cubatureId;cubatureId;S;10;0;X;X;Unique identifier of the loading unit cubature.;
8;Gross weight;StockObjectBundle;keyData.grossWeight.value;grossWeight;D;12;3;;;Specifies the value (or amount) in weight unit which was entered by a user.;
9;Gross weight unit;StockObjectBundle;keyData.grossWeight.unit.id;grossWeightUnit;S;5;0;;X;Uniquely identifies the weight unit.;
10;Origin of gross weight;StockObjectBundle;keyData.weightKind;weightKind;E;10;0;;;The kind of the gross weight.;
11;Update;;;update;B;1;0;X;;;
