Original;ger;spa;fra;por-BR;ita;Occurrences
A-Frame;A-Frame;A-Frame;A-Frame;A-Frame;A-Frame;AFRAMECHANNELREPLLOC00001
BBD BBD;BBD BBD;BBD BBD;BBD BBD;BBD BBD;BBD BBD;STOCKIMPORT00010
BQU / WQU;BME / LME;UE / UV;UQB / UGS;UBQ / UQD;UQB / UQM;PICKINGLOCASSIGNMENT00008 STOCKIMPORT00010
Batch;Charge;Lote;Lot;Lote;Lotto;STOCKIMPORT00010
CSIA 01;ABIA 01;AAIE 01;AISA 01;AAIE 01;AQSP 01;STOCKIMPORT00010
CSIA 02;ABIA 02;AAIE 02;AISA 02;AAIE 02;AQSP 02;STOCKIMPORT00010
CSIA 03;ABIA 03;AAIE 03;AISA 03;AAIE 03;AQSP 03;STOCKIMPORT00010
CSIA 04;ABIA 04;AAIE 04;AISA 04;AAIE 04;AQSP 04;STOCKIMPORT00010
CSIA 05;ABIA 05;AAIE 05;AISA 05;AAIE 05;AQSP 05;STOCKIMPORT00010
CSIA 06;ABIA 06;AAIE 06;AISA 06;AAIE 06;AQSP 06;STOCKIMPORT00010
CSIA 07;ABIA 07;AAIE 07;AISA 07;AAIE 07;AQSP 07;STOCKIMPORT00010
CSIA 08;ABIA 08;AAIE 08;AISA 08;AAIE 08;AQSP 08;STOCKIMPORT00010
CSIA 09;ABIA 09;AAIE 09;AISA 09;AAIE 09;AQSP 09;STOCKIMPORT00010
CSIA 10;ABIA 10;AAIE 10;AISA 10;AAIE 10;AQSP 10;STOCKIMPORT00010
CSIA 11;ABIA 11;AAIE 11;AISA 11;AAIE 11;AQSP 11;STOCKIMPORT00010
CSIA 12;ABIA 12;AAIE 12;AISA 12;AAIE 12;AQSP 12;STOCKIMPORT00010
CSIA 13;ABIA 13;AAIE 13;AISA 13;AAIE 13;AQSP 13;STOCKIMPORT00010
CSIA 14;ABIA 14;AAIE 14;AISA 14;AAIE 14;AQSP 14;STOCKIMPORT00010
CSIA 15;ABIA 15;AAIE 15;AISA 15;AAIE 15;AQSP 15;STOCKIMPORT00010
CSIA 16;ABIA 16;AAIE 16;AISA 16;AAIE 16;AQSP 16;STOCKIMPORT00010
CSIA 17;ABIA 17;AAIE 17;AISA 17;AAIE 17;AQSP 17;STOCKIMPORT00010
CSIA 18;ABIA 18;AAIE 18;AISA 18;AAIE 18;AQSP 18;STOCKIMPORT00010
CSIA 19;ABIA 19;AAIE 19;AISA 19;AAIE 19;AQSP 19;STOCKIMPORT00010
