Original;ger;spa;fra;por-BR;ita;Occurrences
Actual quantity;Istmenge;Cantidad real;Quantité réelle;Quantidade efetiva;Quantità effettiva;E1WVINI
Advised LU type;Avisierter LE-Typ;Tipo de UT avisada;Type d'UC notifiée;Tipo de UT anunciada;Tipo di unità di carico preannunciata;E1BPDLVHDUNHDR E1BPDLVHDUNITM
Assortment;Sortiment;Surtido;Assortiment;Sortimento;Assortimento;E1BPE1MARCRT E1MARCM
BBD;MHD;FCP;DLC;DV;SCAD;E1BPIBDLVITEM
Base quantity unit;Basismengeneinheit;Unidad de existencias;Unité de quantité de base;Unidade de quantidade básica;Unità di quantità di base;E1BP2017_GM_ITEM_CREATE E1BPDLVHDUNITM E1BPE1MARART E1BPIBDLVITEM E1BPIBDLVITEMCON E1BPOBDLVITEM E1BPOBDLVITEMCON E1BPOBDLVITEMDSP E1MARAM E1WVINI
Batch (from);Charge (von);Lote (de);Lot (de);Lote (de);Lotto (da);E1BP2017_GM_ITEM_CREATE
Batch (to);Charge (auf);Lote (a);Lot (à);Lote (para);Lotto (a);E1BP2017_GM_ITEM_CREATE
Batch stock mode;Chargen-Bestandsführungsmodus;Gestión de existencias por lote;Mode de stockage lot;Modo de controle de estoque de lote;Modalità di gestione delle scorte relativa al lotto;E1BPE1MARCRT E1MARCM
Batch;Charge;Lote;Lot;Lote;Lotto;E1BPDLVHDUNITM E1BPIBDLVITEM E1BPOBDLVITEM E1BPOBDLVITEMCON E1WVINI
Business process;Geschäftsprozess;Proceso comercial;Processus d'entreprise;Processo de negócio;Processo aziendale;E1SHP_OBDLV_SPLIT_DECENTRAL
Change delivered quantity;Liefermenge ändern;Cambiar cantidad entregada;Modifier la quantité livrée;Alterar quantidade de fornecimento;Modifica quantità fornita;E1BPIBDLVITEMCTRLCON E1BPOBDLVITEMCTRLCON
Change ext. delivery identification;Ext. Lieferungsidentifikation ändern;Cambiar identificación de entrega ext.;Changer l'identification de livraison ext.;Alterar identificação ext. de fornecimento;Modifica identificazione consegna est.;E1BPIBDLVHDRCTRLCON
City;Stadt;Lugar;Ville;Cidade;Città;E1BPADR1 E1KNA1M E1LFA1M
Condition pricing unit;Konditionspreiseinheit;Unidad de precios de condición;Unité de prix de condition;Unidade de preço da condição;Unità di prezzo della condizione;E1KONP
Condition type;Bedingungstyp;Tipo de estado;Type de condition;Tipo de condição;Tipo di condizione;E1KONP
Condition unit;Konditionsmengeneinheit;Unidad de condición;Unité de condition;Unidade de condição;Unità di condizione;E1KONP
Confirm outbound delivery date;Auslieferungsdatum bestätigen;Confirmar fecha de suministro;Confirmer la date de distribution;Confirmar a data de expedição;Conferma data della consegna in uscita;E1BPOBDLVHDRCTRLCON
Cost center;Kostenstelle;Centro de coste;Centre de coûts;Centro de custos;Voce di costo;E1BP2017_GM_ITEM_CREATE
Country;Land;País;Pays;País;Paese;E1BPADR1 E1KNA1M E1LFA1M
Creation date;Anlegedatum;Fecha de creación;Date de création;Data de criação;Data di creazione;ARTMAS05 COND_A04 CREMAS05 DEBMAS06 DEBMAS07 MATMAS05 MBGMCR03 SHP_IBDLV_CONFIRM_DECENTRAL03 SHP_IBDLV_SAVE_REPLICA04 SHP_OBDLV_CONFIRM_DECENTRAL04 SHP_OBDLV_SAVE_REPLICA05 SHP_OBDLV_SPLIT_DECENTRAL01 WVINVE03
Creation time;Anlegezeit;Hora de creación;Temps de création;Horário de criação;Data e ora di creazione;ARTMAS05 COND_A04 CREMAS05 DEBMAS06 DEBMAS07 MATMAS05 MBGMCR03 SHP_IBDLV_CONFIRM_DECENTRAL03 SHP_IBDLV_SAVE_REPLICA04 SHP_OBDLV_CONFIRM_DECENTRAL04 SHP_OBDLV_SAVE_REPLICA05 SHP_OBDLV_SPLIT_DECENTRAL01 WVINVE03
Custom field 1;Kundenspezifisches Feld 1;Campo personalizado 1;Champ d'utilisateur 1;Campo personalizado 1;Campo personalizzato 1;E1BPEXTC
Custom field 2;Kundenspezifisches Feld 2;Campo personalizado 2;Champ d'utilisateur 2;Campo personalizador 2;Campo personalizzato 2;E1BPEXTC
Custom field 3;Kundenspezifisches Feld 3;Campo personalizado 3;Champ d'utilisateur 3;Campo personalizado 3;Campo personalizzato 3;E1BPEXTC
