Original;ger;spa;fra;por-BR;ita;Occurrences
 Item number; Item number; Item number; Item number; Item number; Item number;PARTNERITEM00005
 Variant; Variant; Variant; Variant; Variant; Variant;PARTNERITEM00005
# Hierarchical LUs;# Hierarchische LE;N° UT jerárquicas;# UCs hiérarchiques;Nº de UTs hierárquicas;N° UdC gerarchiche;CONSIGNMENTACK00012
# Initially registered LAs;# Initial registrierte LHM;N.º de MAT registrados inicialmente;# d’ACs saisis initialement;Nº MATs inicialmente registrados;N. di BdC registrate inizialmente;IBDLOADAIDACK00004
# Internal;# Intern;Número interno;# interne;# Interno;N° interne;IBDLOADAIDACK00004
# Normalized floor spaces;# normierte Bodenflächen;N° de superficies normalizadas;# de surfaces normalisées;# Superfícies normalizadas;N° superfici normalizzate;CONSIGNMENTACK00012
# Not OK;# Nicht OK;N.° no conforme;# Pas OK;# Não OK;N° not OK;IBDLOADAIDACK00004 OBDLOADAIDACK00004
# OK;# OK;N.° conforme;# OK;# OK;N° OK;IBDLOADAIDACK00004 OBDLOADAIDACK00004
# Picking LUs;# Kommissionier-LE;N° de UT de picking;# UCs de prélèvement;# UTs de separação de pedidos;N° unità di carico di picking;CONSIGNMENTACK00012
# Sub LUs;# Sub-LE;N° sub-UT;# sous-UCs;Nº de sub-UTs;N° UdC secondarie;CONSIGNMENTACK00012
# Whole LUs;# Ganz-LE;N° de UT completas;# UCs entières;# UTs completas;N° unità di carico complete;CONSIGNMENTACK00012
ABC value;ABC-Wert;Valor ABC;Valeur ABC;Valor ABC;Valore ABC;ITEMABCCLASSIFICATION00006
Access strategy;Zugriffsstrategie;Estrategia de acceso;Stratégie d'accès;Estratégias de acesso;Strategie di accesso;OBDL00007 OBOL00007 PARTNER00008
Actual dual quantity;Ist-Dualmenge;Cantidad dual real;Qté duale réelle;Quantidade dual efetiva;Quantità duale effettiva;INVCCACK00007
Actual quantity;Istmenge;Cantidad real;Quantité réelle;Quantidade efetiva;Quantità effettiva;INVCCACK00007
Additional information;Zusätzliche Information;Más información;Information supplémentaire;Informação adicional;Informazioni aggiuntive;LAACCOUNTENTRYACK00001
Advised LU line type;Typ avisierte LE-Zeile;Tipo de línea de UT avisada;Type de la ligne d'UC notifiée;Tipo de linha de UT anunciada;Tipo di riga unità di carico preannunciata;ADVISEDLULINE00009
Advised LU type;Avisierter LE-Typ;Tipo de UT avisada;Type d'UC notifiée;Tipo de UT anunciada;Tipo di unità di carico preannunciata;ADVISEDLU00012
Application;Anwendung;Aplicación;Application;Aplicação;Applicazione;LOGIN00007 LOGIN2ROLE00005
Assembled quantity;Assemblierte Menge;Cantidad ensamblada;Quantité assemblée;Quantidade montada;Quantità assemblata;ASOACK00001
Assembly order number;Assemblierungsauftragsnummer;Número de orden de ensamblaje;Numéro d'ordre d’assemblage;Número de pedido de montagem;Numero ordine di assemblaggio;ASO00001 ASOACK00001 STOCKADJ00008
Assembly order partner role;Assemblierungsauftrags-Partnerrolle;Función de socio de orden de ensamblaje;Rôle de partenaire de l’ordre d’assemblage;Papel de parceiro de pedido de montagem;Ruolo del partner nell'ordine di assemblaggio;ASOPARTNER00001
Assembly order type;Assemblierungsauftragstyp;Tipo de orden de ensamblaje;Type d'ordre d’assemblage;Tipo de pedido de montagem;Tipo di ordine di assemblaggio;ASO00001
Assembly order;Assemblierungsauftrag;Orden de ensamblaje;Ordre d’assemblage;Pedido de montagem;Ordine di assemblaggio;ASOCOMPONENT00001 ASOCONSUMABLES00001 ASOPARTNER00001
Assortment;Sortiment;Surtido;Assortiment;Sortimento;Assortimento;INVDL00005 INVDLACK00006 ITEM00012
Automatic conversion mode IG;Automatic conversion mode IG;Automatic conversion mode IG;Automatic conversion mode IG;Automatic conversion mode IG;Automatic conversion mode IG;ITEM00012
Automatic conversion mode OG;Automatic conversion mode OG;Automatic conversion mode OG;Automatic conversion mode OG;Automatic conversion mode OG;Automatic conversion mode OG;ITEM00012
Automatic conversion mode;Automatischer Umrechnungsmodus;Modo de conversión automática;Mode de conversion automatique;Modo de conversão automática;Modo di conversione automatica;ITEM00012
Automatic transfer of inbound delivery line to stock object;Automatische Übernahme der Anlieferungszeile am Bestandsobjekt;Transferencia automática de línea de entrega al objeto de existencias;Transfert automatique de la ligne de livraison à l'objet du stock;Transferência automática da linha de recebimento ao objeto de estoque;Trasferimento automatico della riga della consegna in arrivo allo stock object;ITEM00012
Availability check OG;Availability check OG;Availability check OG;Availability check OG;Availability check OG;Availability check OG;ITEM00012
BBD From;BBD From;BBD From;BBD From;BBD From;BBD From;INVDL00005 INVDLACK00006 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
BBD To;BBD To;BBD To;BBD To;BBD To;BBD To;INVDL00005 INVDLACK00006 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
BBD registration IG;BBD registration IG;BBD registration IG;BBD registration IG;BBD registration IG;BBD registration IG;ITEM00012
BBD registration OG;BBD registration OG;BBD registration OG;BBD registration OG;BBD registration OG;BBD registration OG;ITEM00012
BBD stock mode;MHD-Bestandsführungsmodus;Gestión de existencias por FCP;Mode de stockage DLC;Modo de controle de estoque de DV;Modo di gestione delle scorte SCAD;ITEM00012
BBD;MHD;FCP;DLC;DV;SCAD;ADVISEDLULINE00009 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008
BQU / WQU;BME / LME;UE / UV;UQB / UGS;UBQ / UQD;UQB / UQM;ADVISEDLULINE00009 ASO00001 ASOCOMPONENT00001 FWCS_FFOITEMLINE00001 FWCS_FFOITEMLINEACK00001 FWCS_FFOPICKACK00001 FWCS_ITEMALIAS00001 FWCS_PACKAGINGVERSION00001 FWCS_PICKINGLOCASSIGNMENT00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 ITEMALIAS00006 KITCOMPONENT00001 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008
BQU net weight unit;BQU net weight unit;BQU net weight unit;BQU net weight unit;BQU net weight unit;BQU net weight unit;FWCS_PACKAGINGVERSION00001 ITEM00012
BQU net weight;BME Nettogewicht;Peso neto de UE;Poids net UQB;Peso líquido da UBQ;Peso netto unità di quantità di base;FWCS_PACKAGINGVERSION00001 ITEM00012
Base quantity unit;Basismengeneinheit;Unidad de existencias;Unité de quantité de base;Unidade de quantidade básica;Unità di quantità di base;ITEM00012
Basic strategy;Grundlegende Strategie;Estrategia básica;Stratégie de base;Estratégia básica;Strategia di base;INVD00007
Batch registration IG;Batch registration IG;Batch registration IG;Batch registration IG;Batch registration IG;Batch registration IG;ITEM00012
Batch registration OG;Batch registration OG;Batch registration OG;Batch registration OG;Batch registration OG;Batch registration OG;ITEM00012
Batch stock mode;Chargen-Bestandsführungsmodus;Gestión de existencias por lote;Mode de stockage lot;Modo de controle de estoque de lote;Modalità di gestione delle scorte relativa al lotto;ITEM00012
